1-0	4-nummod	1-nsubj
1-1	4-amod	22-root
1-2	4-amod	1-nmod
1-3	4-dep	2-nmod
1-4	9-nsubj	3-nmod
1-5	4-name	4-nmod
1-6	4-cc	1-cc
1-7	4-conj	22-root
1-8	7-name	7-nmod
1-9	22-root	8-nmod
1-10	9-neg	9-nmod
1-11	15-punct	7-punct
1-12	15-mark	13-mark
1-13	15-nsubj	7-nmod
1-14	15-aux	13-nmod
1-15	9-dobj	14-nmod
1-16	19-case	15-nmod
1-17	19-det	16-nmod
1-18	15-punct	7-punct
1-19	15-nmod	7-nmod
1-20	19-punct	7-punct
1-21	9-punct	7-punct

2-0	1-nsubj	1-nmod
2-1	12-root	12-root
2-2	8-punct	1-punct
2-3	8-mark	4-mark
2-4	5-nmodCOLposs	1-nmod
2-5	8-nsubj	4-nmod
2-6	7-case	5-nmod
2-7	5-nmod	6-nmod
2-8	1-dobj	7-nmod
2-9	10-case	8-nmod
2-10	8-nmod	9-nmod
2-11	1-punct	1-punct

3-0	1-case	20-root
3-1	5-nmod	20-root
3-2	4-case	1-nmod
3-3	4-det	2-nmod
3-4	1-nmod	3-nmod
3-5	20-root	4-nmod
3-6	5-nsubj	1-dobj
3-7	5-punct	1-punct
3-8	13-punct	1-punct
3-9	12-case	20-root
3-10	12-det	20-root
3-11	12-amod	10-nmod
3-12	13-nmod	11-nmod
3-13	5-dep	12-nmod
3-14	13-nsubj	13-nmod
3-15	13-cc	10-cc
3-16	17-amod	10-nmod
3-17	18-nsubj	16-nmod
3-18	13-conj	17-nmod
3-19	5-punct	10-punct

4-0	21-root	1-cc
4-1	5-mark	2-mark
4-2	3-det	19-conj
4-3	5-nsubj	2-nmod
4-4	5-cop	3-nmod
4-5	15-mark	4-nmod
4-6	5-dep	5-nmod
4-7	6-dep	6-nmod
4-8	7-dep	7-nmod
4-9	10-case	10-advmodCOLemph
4-10	8-nmod	8-nmod
4-11	12-case	10-nmod
4-12	10-nmod	11-nmod
4-13	5-punct	2-punct
4-14	15-advmod	2-nmod
4-15	0-conj	14-nmod
4-16	17-det	15-nmod
4-17	15-nsubj	16-nmod
4-18	15-punct	2-punct
4-19	15-dobj	21-root
4-20	0-punct	19-punct

5-0	2-case	19-root
5-1	2-det	0-nmod
5-2	3-nmod	1-nmod
5-3	19-root	2-nmod
5-4	5-amod	3-nmod
5-5	3-dep	4-nmod
5-6	3-nsubj	5-nmod
5-7	9-case	6-nmod
5-8	9-det	19-root
5-9	6-nmod	8-nmod
5-10	11-case	9-nmod
5-11	9-nmod	10-nmod
5-12	3-cc	11-cc
5-13	12-advmod	11-nmod
5-14	16-case	13-nmod
5-15	16-amod	13-nmod
5-16	12-nmod	15-nmod
5-17	3-punct	8-punct
5-18	3-punct	8-punct

6-0	22-root	1-cc
6-1	2-nsubj	2-nmod
6-2	0-conj	22-root
6-3	2-punct	2-punct
6-4	17-punct	2-punct
6-5	17-advmod	2-nmod
6-6	5-mark	7-mark
6-7	10-nsubj	2-nmod
6-8	9-dep	2-case
6-9	10-neg	8-nmod
6-10	5-dep	9-nmod
6-11	12-det	22-root
6-12	10-dobj	22-root
6-13	15-case	12-nmod
6-14	15-amod	13-nmod
6-15	12-nmod	14-nmod
6-16	10-punct	12-punct
6-17	2-dep	12-nmod
6-18	17-nsubj	17-nmod
6-19	20-case	18-nmod
6-20	17-nmod	19-nmod
6-21	17-punct	12-punct

7-0	1-case	11-root
7-1	7-nmod	0-nmod
7-2	3-case	1-nmod
7-3	1-nmod	2-nmod
7-4	7-aux	3-nmod
7-5	7-nsubj	4-nmod
7-6	7-neg	5-nmod
7-7	11-root	6-nmod
7-8	9-det	7-nmod
7-9	7-dobj	8-nmod
7-10	7-punct	0-punct

8-0	1-dobj	1-expl
8-1	7-root	7-root
8-2	1-nsubj	1-nmod
8-3	1-neg	2-nmod
8-4	5-advmod	5-advmod
8-5	1-advmod	1-advmod
8-6	1-punct	1-punct

9-0	1-nsubj	1-expl
9-1	8-root	8-root
9-2	3-advmod	1-nmod
9-3	1-neg	2-nmod
9-4	6-case	3-nmod
9-5	6-nmodCOLposs	4-nmod
9-6	1-nmod	5-nmod
9-7	1-punct	1-punct

10-0	2-nsubj	4-root
10-1	2-cop	0-nmod
10-2	4-root	1-nmod
10-3	2-punct	0-punct

11-0	1-nsubj	1-nmod
11-1	28-root	28-root
11-2	1-dobj	1-nmod
11-3	1-cc	1-cc
11-4	1-conj	1-nmod
11-5	4-advmod	4-nmod
11-6	8-case	5-nmod
11-7	8-det	6-nmod
11-8	4-nmod	7-nmod
11-9	10-case	8-nmod
11-10	8-nmod	9-nmod
11-11	20-punct	1-punct
11-12	16-dobj	1-nmod
11-13	20-nsubj	28-root
11-14	20-advmod	28-root
11-15	20-aux	14-nmod
11-16	20-dep	14-nmod
11-17	20-cc	14-cc
11-18	20-advmod	14-nmod
11-19	20-aux	18-nmod
11-20	1-aclCOLrelcl	19-nmod
11-21	20-dep	20-nmod
11-22	21-dep	21-nmod
11-23	22-dep	28-root
11-24	23-dobj	28-root
11-25	24-dep	24-nmod
11-26	20-punct	24-punct
11-27	1-punct	24-punct

12-0	1-nsubj	1-nmod
12-1	11-root	11-root
12-2	6-punct	1-punct
12-3	6-mark	4-mark
12-4	6-nsubj	1-nmod
