1-0	2-det	14-dobj
1-1	2-amod	0-dobj
1-2	6-nsubj	1-dobj
1-3	6-cop	2-dobj
1-4	6-case	3-case
1-5	6-nummod	3-dobj
1-6	15-root	5-dobj
1-7	6-punct	0-dobj
1-8	6-appos	0-dobj
1-9	8-cc	8-dobj
1-10	8-conj	9-dobj
1-11	10-punct	14-dobj
1-12	10-appos	11-dobj
1-13	10-punct	11-dobj
1-14	6-punct	15-dobj

2-0	1-dobj	2-dobj
2-1	8-root	0-dobj
2-2	1-nsubj	7-dobj
2-3	6-case	2-dobj
2-4	3-mwe	3-case
2-5	6-det	3-dobj
2-6	1-nmod	5-dobj
2-7	1-punct	8-dobj

3-0	1-nsubjpass	9-dobj
3-1	10-root	0-dobj
3-2	3-case	1-case
3-3	1-nmod	1-dobj
3-4	5-case	5-case
3-5	3-nmod	3-dobj
3-6	3-punct	9-dobj
3-7	3-appos	6-dobj
3-8	3-punct	6-dobj
3-9	1-punct	10-dobj

4-0	1-advmod	3-dobj
4-1	10-nsubjpass	0-dobj
4-2	4-dobj	3-dobj
4-3	4-nsubj	11-dobj
4-4	1-aclCOLrelcl	3-dobj
4-5	6-case	4-case
4-6	9-nummod	4-dobj
4-7	6-cc	6-dobj
4-8	6-nummod	7-dobj
4-9	4-nmod	4-dobj
4-10	12-root	4-dobj
4-11	10-punct	12-dobj

5-0	6-nsubj	4-dobj
5-1	2-case	2-case
5-2	0-nmod	0-dobj
5-3	5-case	2-case
5-4	5-det	10-dobj
5-5	2-nmod	4-dobj
5-6	11-root	4-dobj
5-7	6-neg	6-dobj
5-8	9-case	7-case
5-9	6-nmod	4-dobj
5-10	6-punct	11-dobj

6-0	5-mark	22-dobj
6-1	5-nsubj	0-dobj
6-2	4-case	3-case
6-3	4-det	1-dobj
6-4	1-nmod	0-dobj
6-5	19-advcl	0-dobj
6-6	8-det	5-dobj
6-7	8-amod	6-dobj
6-8	5-dobj	7-dobj
6-9	12-case	10-case
6-10	11-det	8-dobj
6-11	12-nmodCOLposs	10-dobj
6-12	8-nmod	11-dobj
6-13	16-case	14-case
6-14	15-advmod	12-dobj
6-15	16-nummod	14-dobj
6-16	5-nmod	15-dobj
6-17	19-cop	16-dobj
6-18	19-nsubj	17-dobj
6-19	23-root	18-dobj
6-20	21-case	19-case
6-21	19-nmod	11-dobj
6-22	19-punct	23-dobj

7-0	3-case	1-case
7-1	2-nummod	9-root
7-2	3-nmodCOLposs	1-dobj
7-3	7-nmod	2-dobj
7-4	7-cop	3-dobj
7-5	7-nsubj	4-dobj
7-6	7-nummod	5-dobj
7-7	9-root	6-dobj
7-8	7-punct	1-dobj

8-0	3-nsubj	20-dobj
8-1	3-cop	0-dobj
8-2	3-det	1-dobj
8-3	21-root	2-dobj
8-4	3-punct	3-dobj
8-5	6-nsubjpass	6-dobj
8-6	3-aclCOLrelcl	0-dobj
8-7	9-case	6-case
8-8	9-nummod	20-dobj
8-9	6-nmod	8-dobj
8-10	9-nmod	11-case
8-11	10-mwe	9-dobj
8-12	16-case	11-case
8-13	12-mwe	12-dobj
8-14	12-mwe	13-case
8-15	16-det	20-dobj
8-16	6-nmod	15-dobj
8-17	19-case	16-case
8-18	19-amod	16-dobj
8-19	16-nmod	18-dobj
8-20	3-punct	21-dobj

9-0	4-mark	9-dobj
9-1	0-mwe	2-case
9-2	0-mwe	3-dobj
9-3	4-nsubjpass	0-dobj
9-4	6-advcl	3-dobj
9-5	6-punct	0-dobj
9-6	10-root	5-dobj
9-7	6-advmod	6-dobj
9-8	6-nsubjpass	7-dobj
9-9	6-punct	10-dobj

10-0	5-nsubj	7-dobj
10-1	4-case	2-case
10-2	4-det	0-dobj
10-3	4-amod	0-dobj
10-4	0-nmod	3-dobj
10-5	8-root	4-dobj
10-6	5-dobj	5-dobj
10-7	5-punct	8-dobj

11-0	1-advmod	4-dobj
11-1	5-root	0-dobj
11-2	1-nsubj	1-dobj
11-3	1-xcomp	2-dobj
11-4	1-punct	5-dobj

12-0	1-case	1-case
12-1	6-nmod	2-dobj
12-2	1-nummod	8-root
12-3	6-cop	2-dobj
12-4	6-nsubj	3-dobj
12-5	6-nummod	4-dobj
12-6	8-root	5-dobj
12-7	6-punct	2-dobj

13-0	1-expl	1-dobj
13-1	11-root	10-dobj
13-2	3-det	1-dobj
13-3	1-nsubjpass	2-dobj
13-4	6-case	5-case
13-5	6-mark	3-dobj
13-6	1-advcl	5-dobj
13-7	6-compoundCOLprt	6-dobj
13-8	9-case	9-case
13-9	6-nmod	7-dobj
13-10	1-punct	11-dobj

14-0	6-nsubjpass	11-dobj
14-1	0-punct	0-dobj
14-2	3-nsubj	3-dobj
14-3	0-aclCOLrelcl	0-dobj
14-4	3-dobj	3-dobj
14-5	0-punct	0-dobj
14-6	12-root	5-dobj
14-7	6-advmod	8-case
14-8	7-mwe	6-dobj
14-9	10-case	8-case
14-10	6-nmod	8-dobj
14-11	6-punct	12-dobj

15-0	1-nsubj	4-dobj
15-1	4-root	0-dobj
15-2	1-dobj	1-dobj
15-3	1-punct	0-dobj

16-0	3-dobj	13-dobj
16-1	3-aux	0-dobj
