1-0	1-nsubj	1-nsubj
1-1	15-root	15-root
1-2	4-punct	4-punct
1-3	4-mark	4-mark
1-4	1-advcl	1-conj
1-5	6-aux	6-mark
1-6	4-ccomp	4-conj
1-7	4-punct	6-punct
1-8	10-case	10-case
1-9	10-amod	10-amod
1-10	1-cop	6-dobj
1-11	12-case	12-case
1-12	10-nmod	13-nsubj
1-13	12-case	6-dobj
1-14	1-punct	1-punct

2-0	5-discourse	2-mark
2-1	0-mwe	2-discourse
2-2	0-mwe	7-root
2-3	5-aux	5-mark
2-4	5-aux	5-aux
2-5	7-root	2-conj
2-6	5-punct	2-punct

3-0	3-nsubj	3-dobj
3-1	3-aux	3-mark
3-2	3-neg	3-discourse
3-3	5-root	5-root
3-4	3-punct	3-punct

4-0	8-root	8-root
4-1	0-iobj	6-dobj
4-2	0-expl	6-dobj
4-3	4-case	4-case
4-4	6-iobj	6-nsubj
4-5	6-aux	6-mark
4-6	0-csubj	0-conj
4-7	0-punct	0-punct

5-0	7-root	7-root
5-1	0-aux	5-aux
5-2	3-advmod	3-advmod
5-3	0-dobj	5-nsubj
5-4	3-cc	3-cc
5-5	3-conj	0-dobj
5-6	0-punct	0-punct

6-0	5-nsubj	5-dobj
6-1	3-punct	2-punct
6-2	3-amod	3-amod
6-3	0-nmod	5-nsubj
6-4	3-punct	5-punct
6-5	9-root	9-root
6-6	7-aux	7-mark
6-7	5-ccomp	5-conj
6-8	5-punct	5-punct

7-0	1-advmod	1-advmod
7-1	5-root	5-root
7-2	1-nmod	3-case
7-3	2-advmod	1-advmod
7-4	1-punct	1-punct

8-0	1-nsubj	1-dobj
8-1	4-root	4-root
8-2	1-advmod	1-advmod
8-3	1-punct	1-punct

9-0	1-case	1-case
9-1	3-nmod	3-nsubj
9-2	3-expl	3-nsubj
9-3	9-root	9-root
9-4	5-amod	5-amod
9-5	3-nsubj	3-dobj
9-6	7-case	7-case
9-7	5-nmod	3-dobj
9-8	3-punct	3-punct

10-0	3-nsubj	3-nsubj
10-1	3-advmod	3-advmod
10-2	3-expl	3-dobj
10-3	5-root	5-root
10-4	3-punct	3-punct

11-0	1-aux	1-mark
11-1	8-root	8-root
11-2	1-advmod	1-advmod
11-3	1-punct	1-punct
11-4	6-advmod	6-advmod
11-5	6-aux	6-mark
11-6	1-conj	1-conj
11-7	1-punct	1-punct

12-0	3-nsubj	3-nsubj
12-1	3-advmod	3-advmod
12-2	3-expl	3-nsubj
12-3	7-root	7-root
12-4	5-case	5-case
12-5	3-nmod	3-dobj
12-6	3-punct	3-punct

13-0	1-amod	1-amod
13-1	2-nsubj	2-nsubj
13-2	6-root	6-root
13-3	4-det	4-det
13-4	2-dobj	2-dobj
13-5	2-punct	2-punct

14-0	5-root	5-root
14-1	0-nsubj	0-dobj
14-2	1-cc	1-cc
14-3	1-conj	0-dobj
14-4	0-punct	0-punct

15-0	2-amod	2-amod
15-1	2-amod	2-amod
15-2	3-nsubj	3-nsubj
15-3	6-root	6-root
15-4	3-dobj	3-dobj
15-5	3-punct	3-punct

16-0	5-nsubj	5-nsubj
16-1	2-case	2-case
16-2	0-nmod	5-nsubj
16-3	0-punct	5-punct
16-4	0-det	5-det
16-5	12-root	12-root
16-6	7-amod	7-amod
16-7	5-cop	5-dobj
16-8	10-case	10-case
16-9	10-amod	10-amod
16-10	7-nmod	5-dobj
16-11	5-punct	5-punct

17-0	5-nsubj	5-dobj
17-1	3-punct	0-punct
17-2	3-amod	3-amod
17-3	0-nmod	5-nsubj
17-4	3-punct	3-punct
17-5	9-root	9-root
17-6	7-aux	7-mark
17-7	5-ccomp	5-conj
17-8	5-punct	5-punct

18-0	2-advmod	2-advmod
18-1	2-expl	2-dobj
18-2	9-root	9-root
18-3	2-nsubj	7-nsubj
18-4	3-nmod	7-nsubj
18-5	6-case	6-case
18-6	3-nmod	7-nsubj
18-7	6-case	2-dobj
