1-0	1-nsubj	1-nsubj
1-1	7-root	7-root
1-2	1-advmod	1-advmod
1-3	1-cc	1-cc
1-4	1-conj	1-dobj
1-5	4-advmod	1-advmod
1-6	4-nmod	1-nmod

2-0	1-cop	4-root
2-1	4-root	0-nmod
2-2	1-amod	3-amod
2-3	1-vocative	0-nmod

3-0	3-amod	3-amod
3-1	2-amod	3-amod
3-2	3-amod	3-amod
3-3	4-root	4-root

4-0	7-neg	2-neg
4-1	7-nsubj	2-compoundCOLreflex
4-2	7-aux	14-root
4-3	7-punct	2-punct
4-4	5-det	5-det
4-5	7-nmod	2-nmod
4-6	5-punct	2-punct
4-7	14-root	2-advcl
4-8	9-amod	9-amod
4-9	7-nmod	7-dobj
4-10	11-advmod	12-advmod
4-11	12-det	12-det
4-12	7-nmod	9-nmod
4-13	12-punct	2-punct

5-0	9-root	9-root
5-1	0-nmod	0-dobj
5-2	1-punct	0-punct
5-3	6-mark	6-mark
5-4	5-nmod	6-nmod
5-5	6-nsubj	6-nmod
5-6	0-ccomp	0-conj
5-7	6-nmod	6-nmod
5-8	7-punct	0-punct

6-0	1-amod	1-amod
6-1	2-root	2-root

7-0	1-advmod	1-advmod
7-1	2-root	2-root

8-0	2-neg	2-neg
8-1	2-advmod	2-advmod
8-2	3-root	3-root

9-0	1-nummod	1-nummod
9-1	3-nmod	3-nmod
9-2	3-nsubj	3-nsubj
9-3	7-root	7-root
9-4	3-nmod	5-nmod
9-5	3-dobj	3-nmod
9-6	5-punct	3-punct

10-0	1-advmod	1-advmod
10-1	3-root	3-root
10-2	1-nsubj	1-nsubj

11-0	1-aux	3-root
11-1	3-root	0-conj
11-2	1-dobj	1-dobj

12-0	2-dobj	5-root
12-1	2-aux	5-root
12-2	5-root	5-root
12-3	4-amod	4-amod
12-4	2-nmod	2-dobj

13-0	2-nsubj	1-nsubj
13-1	2-aux	2-cop
13-2	4-root	4-root
13-3	2-punct	2-punct

14-0	1-nmod	1-nsubj
14-1	5-root	5-root
14-2	1-advmod	3-advmod
14-3	4-amod	4-amod
14-4	1-nsubj	1-dobj

15-0	6-advmod	3-advmod
15-1	2-det	2-det
15-2	6-nmod	3-nsubj
15-3	6-aux	7-root
15-4	6-advmod	5-advmod
15-5	6-nsubj	6-nsubj
15-6	7-root	3-advcl

16-0	1-nmod	4-nsubj
16-1	4-dobj	0-conj
16-2	4-cc	0-cc
16-3	4-conj	4-nmod
16-4	5-amod	6-root
16-5	6-root	4-nmod

17-0	6-root	6-root
17-1	2-dobj	0-nmod
17-2	0-advcl	0-ccomp
17-3	0-nmod	2-dobj
17-4	3-case	0-case
17-5	4-punct	0-punct

18-0	1-amod	1-amod
18-1	2-dobj	3-nmod
18-2	5-nsubj	3-nsubj
18-3	5-cop	5-cop
18-4	5-advmod	5-advmod
18-5	7-root	7-root
18-6	5-punct	5-punct

19-0	2-nmod	2-nmod
19-1	2-nmod	2-nmod
19-2	6-root	6-root
19-3	4-advmod	4-advmod
19-4	2-nsubj	2-nmod
19-5	4-punct	2-punct

20-0	3-root	3-root
20-1	2-det	2-det
20-2	0-dobj	0-dobj

21-0	4-root	4-root
21-1	0-dobj	4-root
21-2	0-nmod	1-nmod
21-3	2-punct	1-punct

22-0	2-root	2-root
22-1	0-nmod	0-nmod

23-0	4-nsubj	1-nmod
23-1	4-cop	6-root
23-2	4-det	4-det
23-3	4-amod	4-amod
23-4	6-root	1-nsubj
23-5	4-punct	1-punct

24-0	1-det	1-det
24-1	2-root	2-root

25-0	1-amod	1-amod
25-1	2-root	2-root

26-0	1-nsubj	1-nsubj
26-1	5-root	5-root
26-2	1-nmod	1-nmod
26-3	1-advmod	1-advmod
26-4	3-punct	1-punct

27-0	1-nsubj	1-nsubj
27-1	5-root	5-root
27-2	1-nmod	3-nsubj
27-3	2-case	1-case
27-4	3-punct	1-punct

28-0	2-neg	7-root
28-1	2-nsubj	2-nmod
28-2	7-root	7-root
28-3	4-det	4-det
28-4	2-dobj	2-nmod
28-5	2-advmod	7-root
28-6	2-nmod	5-nmod

29-0	1-det	1-det
29-1	3-nmod	2-nmod
29-2	5-root	5-root
29-3	2-ccomp	2-xcomp
29-4	3-punct	2-punct

30-0	1-nsubj	1-nmod
30-1	4-root	4-root
30-2	1-dobj	1-dobj
30-3	2-punct	1-punct

31-0	1-neg	2-root
31-1	2-root	0-conj

32-0	1-aux	2-root
32-1	2-root	0-conj

33-0	2-neg	3-root
33-1	2-aux	3-root
33-2	3-root	1-conj

34-0	1-aux	2-root
34-1	2-root	0-advcl

35-0	2-neg	3-root
35-1	2-aux	3-root
35-2	3-root	1-advcl

36-0	1-det	1-det
36-1	3-nmod	3-nsubj
36-2	3-nsubj	3-nsubj
36-3	5-root	5-root
36-4	3-advmod	3-advmod

37-0	3-nmod	1-nmod
37-1	3-aux	6-root
37-2	3-nsubj	3-nsubj
37-3	6-root	5-cop
37-4	3-advmod	5-advmod
37-5	3-nmod	1-nmod

38-0	1-neg	2-root
38-1	2-root	0-advcl

39-0	2-neg	3-root
39-1	2-aux	3-root
