1-0	21-root	21-root
1-1	2-det	2-amod
1-2	0-dobj	0-dobj
1-3	18-mark	2-cc
1-4	5-det	5-amod
1-5	18-nsubj	2-nmod
1-6	5-nmod	0-dobj
1-7	10-punct	0-punct
1-8	9-det	21-root
1-9	10-nsubj	10-nsubj
1-10	5-aclCOLrelcl	8-conj
1-11	13-case	13-case
1-12	13-amod	13-amod
1-13	10-nmod	10-dobj
1-14	15-det	15-amod
1-15	13-nmod	13-nmod
1-16	10-punct	10-punct
1-17	18-aux	18-mark
1-18	2-acl	8-conj
1-19	18-advmod	18-advmod
1-20	0-punct	8-punct

2-0	1-advmod	1-advmod
2-1	15-root	15-root
2-2	3-nmod	3-nummod
2-3	1-nsubj	1-dobj
2-4	5-case	5-case
2-5	3-nmod	1-dobj
2-6	8-mark	8-mark
2-7	8-aux	8-mark
2-8	1-advcl	1-conj
2-9	11-amod	11-amod
2-10	11-det	11-amod
2-11	8-nsubj	8-dobj
2-12	13-det	13-amod
2-13	11-nmod	11-nmod
2-14	1-punct	1-punct

3-0	23-root	23-root
3-1	7-mark	0-cc
3-2	3-det	3-amod
3-3	7-nsubj	0-nmod
3-4	6-nmod	7-nmod
3-5	6-det	6-amod
3-6	3-nmod	7-nsubj
3-7	0-ccomp	0-conj
3-8	10-det	10-amod
3-9	10-amod	10-amod
3-10	7-dobj	7-dobj
3-11	13-det	13-amod
3-12	13-amod	13-amod
3-13	10-nmod	7-dobj
3-14	16-case	16-case
3-15	16-det	16-amod
3-16	10-nmod	7-dobj
3-17	18-det	18-amod
3-18	16-nmod	7-dobj
3-19	20-det	20-amod
3-20	18-nmod	18-nmod
3-21	20-nmod	7-dobj
3-22	0-punct	0-punct

4-0	1-case	1-case
4-1	4-nmod	4-nsubj
4-2	1-nmod	1-nmod
4-3	4-punct	1-punct
4-4	23-root	23-root
4-5	6-aux	6-mark
4-6	4-csubj	4-conj
4-7	9-det	9-amod
4-8	9-amod	9-amod
4-9	6-dobj	6-dobj
4-10	11-det	11-amod
4-11	9-nmod	9-nmod
4-12	6-punct	6-punct
4-13	14-case	14-case
4-14	17-nmod	15-nmod
4-15	9-acl	4-conj
4-16	17-aux	17-mark
4-17	15-ccomp	4-conj
4-18	17-cc	17-cc
4-19	17-dobj	17-dobj
4-20	21-case	21-case
4-21	19-nmod	19-nmod
4-22	4-punct	4-punct

5-0	1-det	1-amod
5-1	20-nsubj	10-nsubj
5-2	4-det	4-amod
5-3	4-amod	4-amod
5-4	1-nmod	10-nsubj
5-5	4-amod	7-amod
5-6	7-det	7-amod
5-7	5-nmod	4-nmod
5-8	10-punct	4-punct
5-9	10-advmod	10-advmod
5-10	1-acl	26-root
5-11	13-det	13-amod
5-12	13-amod	13-amod
5-13	10-nsubj	10-dobj
5-14	15-det	26-root
5-15	13-amod	14-conj
5-16	10-punct	14-punct
5-17	1-acl	14-conj
5-18	19-det	19-amod
5-19	17-nmod	20-nmod
5-20	26-root	14-conj
5-21	22-amod	22-amod
5-22	20-xcomp	20-dobj
5-23	24-det	24-amod
5-24	22-nmod	22-nmod
5-25	20-punct	14-punct

6-0	1-case	1-case
6-1	9-nmod	7-nsubj
6-2	3-det	3-amod
6-3	1-nmod	1-nmod
6-4	1-punct	1-punct
6-5	6-det	6-amod
6-6	8-nsubj	7-nsubj
6-7	8-cop	22-root
6-8	10-dep	22-root
6-9	10-cc	8-cc
6-10	22-root	22-root
6-11	12-det	22-root
6-12	10-conj	22-root
6-13	14-advmod	14-advmod
6-14	10-conj	16-advmod
6-15	16-case	16-case
6-16	14-nmod	22-root
6-17	18-punct	16-punct
6-18	10-conj	19-case
6-19	18-dep	22-root
6-20	19-nmod	19-nmod
6-21	10-punct	19-punct

7-0	15-root	15-root
7-1	3-case	3-case
7-2	3-det	3-amod
7-3	0-nmod	0-dobj
7-4	5-amod	5-amod
7-5	0-xcomp	0-dobj
7-6	10-case	9-case
7-7	9-det	9-amod
7-8	9-amod	9-amod
7-9	0-nmod	0-dobj
7-10	9-cc	9-cc
7-11	12-det	12-amod
7-12	9-conj	0-nmod
7-13	12-nmod	12-nmod
7-14	0-punct	0-punct

8-0	1-det	1-amod
8-1	6-nsubj	6-nsubj
8-2	3-det	3-amod
8-3	1-nmod	1-nmod
8-4	5-case	5-case
8-5	1-nmod	6-nsubj
8-6	28-root	28-root
8-7	12-mark	6-cc
8-8	12-punct	6-punct
8-9	11-det	11-amod
8-10	11-amod	11-amod
8-11	12-nmod	12-nmod
8-12	6-ccomp	6-conj
8-13	12-nsubj	12-nmod
8-14	13-nmod	13-nummod
8-15	16-case	16-case
8-16	13-nmod	18-nsubj
8-17	18-nsubj	18-nsubj
8-18	16-aclCOLrelcl	6-conj
