1-0	5-root	2-nmod
1-1	2-punct	0-punct
1-2	0-appos	5-root
1-3	2-aux	4-aux
1-4	2-xcomp	2-advcl

2-0	1-case	1-case
2-1	3-root	3-root
2-2	1-nmod	1-nmod

3-0	1-advmod	1-advmod
3-1	13-root	13-root
3-2	3-case	3-case
3-3	1-dobj	1-nmod
3-4	9-punct	1-punct
3-5	9-mark	9-mark
3-6	9-nsubj	9-nsubj
3-7	6-cc	6-cc
3-8	6-conj	9-nsubj
3-9	3-acl	1-conj
3-10	11-amod	11-amod
3-11	9-dobj	9-nmod
3-12	1-punct	1-punct

4-0	2-nsubj	2-nsubj
4-1	2-dobj	0-nmod
4-2	11-root	11-root
4-3	4-case	4-case
4-4	2-advmod	2-dobj
4-5	9-punct	2-punct
4-6	9-mark	9-mark
4-7	9-nsubj	9-nsubj
4-8	9-dobj	7-nmod
4-9	4-acl	2-conj
4-10	2-punct	2-punct

5-0	3-root	3-root
5-1	0-dobj	0-nmod
5-2	0-punct	0-punct

6-0	1-nmod	3-nsubj
6-1	5-root	0-conj
6-2	4-punct	0-punct
6-3	4-amod	4-amod
6-4	5-root	5-root

7-0	1-amod	1-amod
7-1	20-nsubj	6-nsubj
7-2	1-nmod	1-nmod
7-3	6-punct	1-punct
7-4	6-nsubj	6-nsubj
7-5	6-advmod	6-advmod
7-6	2-acl	22-root
7-7	16-punct	6-punct
7-8	10-case	10-case
7-9	10-det	10-det
7-10	16-nmod	6-dobj
7-11	17-auxpassCOLreflex	12-nsubj
7-12	16-nsubj	10-nmod
7-13	12-cc	12-cc
7-14	15-amod	15-amod
7-15	12-conj	16-nsubj
7-16	6-ccomp	6-ccomp
7-17	16-xcomp	16-conj
7-18	16-punct	17-punct
7-19	20-advmod	20-advmod
7-20	22-root	17-conj
7-21	20-punct	6-punct

8-0	1-case	1-case
8-1	9-nmod	9-nsubj
8-2	5-case	3-case
8-3	5-nummod	1-nummod
8-4	3-punct	1-punct
8-5	1-nummod	1-nummod
8-6	5-punct	1-punct
8-7	5-nummod	1-nummod
8-8	9-auxpass	9-aux
8-9	41-root	41-root
8-10	9-nsubjpass	9-dobj
8-11	12-amod	12-amod
8-12	10-nmod	9-dobj
8-13	14-amod	14-amod
8-14	12-nmod	12-nmod
8-15	16-case	16-case
8-16	14-nmod	14-nmod
8-17	16-punct	16-punct
8-18	16-dep	16-nmod
8-19	20-compound	20-nummod
8-20	18-nummod	18-nummod
8-21	16-punct	18-punct
8-22	16-punct	9-punct
8-23	24-amod	24-amod
8-24	16-conj	9-dobj
8-25	24-amod	24-amod
8-26	24-punct	25-punct
8-27	24-dep	24-nmod
8-28	29-compound	29-nummod
8-29	27-nummod	27-nummod
8-30	24-punct	9-punct
8-31	16-cc	9-cc
8-32	33-amod	33-amod
8-33	16-conj	9-dobj
8-34	33-amod	33-amod
8-35	33-punct	34-punct
8-36	33-dep	33-nmod
8-37	38-compound	38-nummod
8-38	36-nummod	36-nummod
8-39	33-punct	36-punct
8-40	9-punct	9-punct

9-0	1-case	1-case
9-1	2-nmod	2-nsubj
9-2	12-root	12-root
9-3	2-nsubj	5-nsubj
9-4	2-dobj	5-nsubj
9-5	4-acl	2-conj
9-6	5-dobj	12-root
9-7	6-nmod	12-root
9-8	5-nmod	7-nmod
9-9	10-case	10-case
9-10	8-nmod	8-nmod
9-11	2-punct	7-punct

10-0	6-nsubj	4-nsubj
10-1	0-nmod	0-nmod
10-2	3-amod	3-amod
10-3	1-nmod	4-nsubj
10-4	6-cop	6-cop
10-5	6-advmod	6-advmod
10-6	14-root	9-amod
10-7	6-cc	6-cc
10-8	9-case	9-case
10-9	12-nmod	10-nsubj
10-10	12-cop	14-root
10-11	12-nsubj	10-dobj
10-12	6-conj	11-amod
10-13	6-punct	10-punct

11-0	1-nsubj	1-nsubj
11-1	12-root	12-root
11-2	1-dobj	12-root
11-3	2-nmod	2-nmod
11-4	6-case	6-case
11-5	6-amod	6-amod
11-6	1-nmod	3-nmod
11-7	6-cc	6-cc
11-8	10-case	10-case
11-9	10-amod	10-amod
11-10	6-conj	6-nmod
11-11	1-punct	2-punct

12-0	2-case	2-case
12-1	2-amod	2-amod
12-2	3-nmod	3-nmod
12-3	10-root	10-root
12-4	6-cop	10-root
12-5	3-nsubj	4-nmod
12-6	3-xcomp	4-conj
12-7	8-case	8-case
12-8	3-nmod	6-nmod
12-9	3-punct	4-punct

13-0	20-dobj	9-nsubj
13-1	9-punct	0-punct
13-2	9-mark	3-mark
13-3	9-nsubj	0-nmod
13-4	3-punct	0-punct
13-5	3-cc	0-cc
13-6	3-conj	0-nmod
13-7	3-punct	0-punct
13-8	3-nmod	0-nmod
13-9	0-acl	36-root
13-10	9-dobj	9-dobj
13-11	14-punct	9-punct
13-12	14-nsubjpass	14-nsubj
13-13	14-auxpass	14-aux
13-14	10-acl	9-conj
13-15	14-dobj	14-nmod
13-16	14-punct	14-punct
13-17	18-aux	18-aux
13-18	36-root	36-root
13-19	18-nsubj	18-nmod
13-20	18-xcomp	18-conj
13-21	22-case	22-case
13-22	20-nmod	20-nmod
13-23	20-punct	20-punct
13-24	25-amod	25-amod
13-25	26-dobj	20-nmod
13-26	20-conj	20-ccomp
13-27	20-punct	26-punct
13-28	20-cc	26-cc
13-29	30-case	30-case
13-30	33-nmod	26-dobj
13-31	32-case	32-case
13-32	33-nmod	33-nsubj
13-33	20-conj	26-conj
13-34	33-dobj	33-nmod
13-35	18-punct	18-punct

14-0	1-nsubj	1-nsubj
14-1	6-root	6-root
14-2	4-amod	4-amod
14-3	4-amod	4-amod
14-4	1-dobj	1-nmod
14-5	1-punct	1-punct

15-0	7-root	7-root
15-1	7-root	7-root
15-2	1-nmod	1-nmod
15-3	4-amod	4-amod
15-4	7-root	1-nmod
15-5	6-case	6-case
15-6	4-nmod	1-nmod

16-0	5-root	1-amod
16-1	5-root	3-nummod
16-2	1-punct	1-punct
16-3	1-conj	4-nummod
16-4	1-nmod	5-root

17-0	4-root	2-nummod
17-1	0-punct	0-punct
17-2	0-conj	3-nummod
17-3	0-nmod	4-root

18-0	5-root	1-amod
18-1	5-root	3-nummod
18-2	1-punct	1-punct
18-3	1-conj	4-nummod
18-4	1-nmod	5-root

19-0	4-root	2-nummod
19-1	0-punct	0-punct
19-2	0-conj	3-nummod
19-3	4-root	4-root

20-0	1-amod	1-amod
20-1	5-root	5-root
20-2	1-amod	1-amod
20-3	2-cc	2-cc
20-4	2-conj	1-amod

21-0	9-root	9-root
21-1	3-case	3-case
21-2	3-nummod	3-nummod
21-3	0-nmod	9-root
21-4	3-nmod	3-nmod
21-5	9-root	4-nummod
21-6	5-punct	3-punct
21-7	5-conj	3-nummod
21-8	5-nmod	3-nmod

22-0	4-root	2-nummod
22-1	0-punct	0-punct
22-2	0-conj	3-nummod
22-3	0-nmod	4-root

23-0	2-case	2-case
23-1	2-nummod	2-nummod
23-2	8-root	8-root
23-3	2-nmod	2-nmod
23-4	8-root	3-nummod
23-5	4-punct	2-punct
23-6	4-conj	2-nummod
23-7	4-nmod	2-nmod

24-0	4-root	2-nummod
24-1	0-punct	0-punct
24-2	0-conj	3-nummod
24-3	0-nmod	4-root

25-0	6-punct	1-punct
25-1	2-amod	2-amod
25-2	6-nsubj	6-nsubj
25-3	2-nmod	2-nmod
25-4	5-case	5-case
25-5	6-nmod	2-nmod
25-6	9-root	9-root
25-7	6-punct	6-punct
25-8	6-punct	6-punct

26-0	2-nsubj	2-nsubj
26-1	2-aux	2-aux
26-2	21-root	21-root
26-3	11-auxpass	11-aux
26-4	5-case	5-case
26-5	11-dobj	11-nsubj
26-6	8-amod	5-amod
26-7	8-amod	8-amod
26-8	5-nmod	5-nmod
26-9	10-amod	10-amod
26-10	11-nmod	5-nmod
26-11	2-ccomp	2-conj
26-12	2-punct	11-punct
26-13	2-dep	11-nmod
26-14	13-punct	13-punct
26-15	13-conj	13-nmod
26-16	13-punct	11-punct
26-17	18-amod	18-amod
26-18	13-conj	11-nmod
26-19	2-punct	18-punct
26-20	2-punct	2-punct

27-0	2-case	2-case
27-1	2-amod	2-amod
27-2	8-nmod	8-nsubj
27-3	8-compoundCOLreflex	8-nsubj
27-4	8-nsubj	8-nsubj
27-5	8-nmod	4-nmod
27-6	7-case	7-case
27-7	8-nmod	4-nmod
27-8	31-root	31-root
27-9	8-punct	8-punct
27-10	11-nsubj	11-nsubj
27-11	8-conj	8-conj
27-12	13-case	13-case
27-13	11-nmod	11-nmod
27-14	15-case	15-case
27-15	13-nmod	31-root
27-16	15-nmod	15-nmod
27-17	16-punct	15-punct
27-18	16-nummod	15-nummod
27-19	20-punct	15-punct
27-20	18-nummod	21-nummod
27-21	15-nmod	15-nmod
27-22	21-punct	15-punct
27-23	24-case	24-case
27-24	15-nmod	31-root
27-25	24-nmod	24-nmod
27-26	29-punct	24-punct
27-27	29-advmodCOLemph	29-advmod
27-28	29-case	29-case
27-29	13-nmod	24-nmod
27-30	8-punct	24-punct

