1-0	2-det	2-det
1-1	2-amod	2-amod
1-2	6-nsubj	15-root
1-3	6-cop	15-aux
1-4	6-case	6-case
1-5	6-nummod	6-nummod
1-6	15-root	15-root
1-7	6-punct	6-punct
1-8	6-appos	6-nmod
1-9	8-cc	8-cc
1-10	8-conj	6-nmod
1-11	10-punct	12-punct
1-12	10-appos	10-nmod
1-13	10-punct	10-punct
1-14	6-punct	6-punct

2-0	1-dobj	1-nsubj
2-1	8-root	8-root
2-2	1-nsubj	6-nsubj
2-3	6-case	6-amod
2-4	3-mwe	6-case
2-5	6-det	6-amod
2-6	1-nmod	1-dobj
2-7	1-punct	1-punct

3-0	1-nsubjpass	1-nsubj
3-1	10-root	10-root
3-2	3-case	3-case
3-3	1-nmod	1-dobj
3-4	5-case	5-case
3-5	3-nmod	1-dobj
3-6	3-punct	7-punct
3-7	3-appos	5-nmod
3-8	3-punct	7-punct
3-9	1-punct	1-punct

4-0	1-advmod	4-advmod
4-1	10-nsubjpass	4-nsubj
4-2	4-dobj	4-nsubj
4-3	4-nsubj	4-nsubj
4-4	1-aclCOLrelcl	12-root
4-5	6-case	9-case
4-6	9-nummod	9-nummod
4-7	6-cc	6-cc
4-8	6-nummod	9-nummod
4-9	4-nmod	10-nsubj
4-10	12-root	4-conj
4-11	10-punct	4-punct

5-0	6-nsubj	6-nsubj
5-1	2-case	2-case
5-2	0-nmod	6-nsubj
5-3	5-case	4-case
5-4	5-det	6-nsubj
5-5	2-nmod	4-nummod
5-6	11-root	11-root
5-7	6-neg	9-advmod
5-8	9-case	9-case
5-9	6-nmod	6-nmod
5-10	6-punct	6-punct

6-0	5-mark	5-mark
6-1	5-nsubj	5-nsubj
6-2	4-case	4-case
6-3	4-det	4-det
6-4	1-nmod	5-nsubj
6-5	19-advcl	23-root
6-6	8-det	23-det
6-7	8-amod	23-root
6-8	5-dobj	23-root
6-9	12-case	11-case
6-10	11-det	11-det
6-11	12-nmodCOLposs	23-root
6-12	8-nmod	23-root
6-13	16-case	23-root
6-14	15-advmod	23-root
6-15	16-nummod	16-nummod
6-16	5-nmod	23-root
6-17	19-cop	23-aux
6-18	19-nsubj	23-root
6-19	23-root	18-amod
6-20	21-case	21-case
6-21	19-nmod	18-nmod
6-22	19-punct	18-punct

7-0	3-case	2-case
7-1	2-nummod	2-nummod
7-2	3-nmodCOLposs	9-root
7-3	7-nmod	9-root
7-4	7-cop	9-aux
7-5	7-nsubj	9-root
7-6	7-nummod	7-nummod
7-7	9-root	5-nmod
7-8	7-punct	5-punct

8-0	3-nsubj	6-nsubj
8-1	3-cop	6-aux
8-2	3-det	3-det
8-3	21-root	6-nsubj
8-4	3-punct	6-punct
8-5	6-nsubjpass	6-nsubj
8-6	3-aclCOLrelcl	21-root
8-7	9-case	9-case
8-8	9-nummod	9-nummod
8-9	6-nmod	6-dobj
8-10	9-nmod	11-case
8-11	10-mwe	6-dobj
8-12	16-case	13-case
8-13	12-mwe	21-root
8-14	12-mwe	16-case
8-15	16-det	16-det
8-16	6-nmod	21-root
8-17	19-case	19-case
8-18	19-amod	19-amod
8-19	16-nmod	16-nmod
8-20	3-punct	16-punct

9-0	4-mark	4-advmod
9-1	0-mwe	4-case
9-2	0-mwe	4-advmod
9-3	4-nsubjpass	4-nsubj
9-4	6-advcl	10-root
9-5	6-punct	6-punct
9-6	10-root	10-root
9-7	6-advmod	8-advmod
9-8	6-nsubjpass	6-dobj
9-9	6-punct	6-punct

10-0	5-nsubj	5-nsubj
10-1	4-case	4-case
10-2	4-det	4-det
10-3	4-amod	4-amod
10-4	0-nmod	5-nsubj
10-5	8-root	8-root
10-6	5-dobj	5-dobj
10-7	5-punct	5-punct

11-0	1-advmod	1-advmod
11-1	5-root	3-cop
11-2	1-nsubj	3-nsubj
11-3	1-xcomp	5-root
11-4	1-punct	3-punct

12-0	1-case	1-case
12-1	6-nmod	8-root
12-2	1-nummod	8-root
12-3	6-cop	8-aux
12-4	6-nsubj	8-root
12-5	6-nummod	6-nummod
12-6	8-root	4-nmod
12-7	6-punct	4-punct

13-0	1-expl	1-nsubj
13-1	11-root	11-root
13-2	3-det	3-det
13-3	1-nsubjpass	6-nsubj
13-4	6-case	6-case
13-5	6-mark	6-mark
13-6	1-advcl	11-root
13-7	6-compoundCOLprt	9-case
13-8	9-case	9-case
13-9	6-nmod	6-nmod
13-10	1-punct	6-punct

14-0	6-nsubjpass	3-nsubj
14-1	0-punct	3-punct
14-2	3-nsubj	3-nsubj
14-3	0-aclCOLrelcl	12-root
14-4	3-dobj	3-dobj
14-5	0-punct	6-punct
14-6	12-root	12-root
14-7	6-advmod	8-case
14-8	7-mwe	6-dobj
14-9	10-case	10-case
14-10	6-nmod	8-nmod
14-11	6-punct	6-punct

15-0	1-nsubj	1-nsubj
15-1	4-root	4-root
15-2	1-dobj	1-dobj
15-3	1-punct	1-punct

16-0	3-dobj	14-root
16-1	3-aux	14-aux
16-2	3-nsubj	14-root
16-3	14-root	14-root
16-4	7-nsubj	14-root
16-5	7-cop	14-aux
16-6	7-amod	7-amod
16-7	2-aclCOLrelcl	14-root
16-8	7-cc	7-cc
16-9	7-conj	12-amod
16-10	9-advmod	12-advmod
16-11	12-case	12-case
16-12	10-nmod	7-nmod
16-13	3-punct	7-punct

17-0	6-mark	39-mark
17-1	3-det	3-det
17-2	3-amod	3-amod
17-3	6-nsubj	39-root
17-4	6-neg	39-root
17-5	6-cop	39-aux
17-6	12-advcl	39-root
17-7	6-advmod	12-advmod
17-8	12-punct	12-punct
17-9	12-aux	12-aux
17-10	12-nsubj	12-nsubj
17-11	12-advmod	12-advmod
17-12	39-root	39-root
17-13	12-dobj	12-dobj
17-14	12-punct	39-punct
17-15	18-mark	39-mark
17-16	18-nsubj	39-root
17-17	18-cop	39-aux
17-18	12-advcl	39-root
17-19	18-advmod	23-advmod
17-20	21-det	21-det
17-21	18-nmod	23-nsubj
17-22	23-nsubj	23-nsubj
17-23	21-aclCOLrelcl	39-root
17-24	23-nummod	28-nummod
17-25	21-cc	24-cc
17-26	28-det	28-det
17-27	28-nummod	28-nummod
17-28	21-conj	39-root
17-29	30-advmod	30-advmod
17-30	28-nmod	39-root
17-31	28-punct	39-punct
17-32	18-advmod	39-root
17-33	34-case	34-case
17-34	18-nmod	39-root
17-35	36-nummod	36-nummod
17-36	34-nmod	34-nmod
17-37	34-punct	36-punct
17-38	12-punct	34-punct

18-0	1-case	1-case
18-1	13-nmod	13-nsubj
18-2	4-case	4-case
18-3	4-det	4-amod
18-4	1-nmod	13-nsubj
18-5	13-aux	13-aux
18-6	7-case	7-case
18-7	8-nmod	13-nsubj
18-8	9-amod	9-amod
18-9	13-nsubj	13-nsubj
18-10	12-case	12-case
18-11	12-det	12-det
18-12	9-nmod	13-nsubj
18-13	24-root	24-root
18-14	13-dobj	13-dobj
18-15	13-punct	18-punct
18-16	18-mark	18-mark
18-17	18-nsubj	18-nsubj
18-18	13-advcl	24-root
18-19	18-advmod	22-advmod
18-20	22-det	22-amod
18-21	22-amod	22-amod
18-22	18-nmod	18-dobj
18-23	13-punct	18-punct

19-0	2-nsubj	5-root
19-1	2-aux	2-aux
19-2	5-root	5-root
19-3	2-dobj	2-nmod
19-4	2-punct	2-punct

20-0	3-dobj	3-nsubj
20-1	3-aux	3-aux
20-2	3-nsubj	3-nsubj
20-3	15-root	15-root
20-4	3-punct	7-punct
20-5	7-nsubj	7-nsubj
20-6	7-aux	7-aux
20-7	2-aclCOLrelcl	15-root
20-8	9-amod	9-amod
20-9	7-dobj	15-root
20-10	13-case	13-case
20-11	12-advmod	13-advmod
20-12	13-nummod	13-nummod
20-13	7-nmod	9-nmod
20-14	3-punct	9-punct

21-0	2-det	2-det
21-1	2-det	2-amod
21-2	14-root	8-nsubj
21-3	2-punct	8-punct
21-4	5-case	5-case
21-5	8-nmod	8-nsubj
21-6	7-amod	7-amod
21-7	8-nsubjpass	8-nsubj
21-8	2-aclCOLrelcl	14-root
21-9	8-punct	8-punct
21-10	2-cop	14-aux
21-11	12-det	14-root
21-12	2-nsubj	11-nummod
21-13	2-punct	11-punct

22-0	7-nsubjpass	7-nsubj
22-1	3-case	3-case
22-2	3-det	3-amod
22-3	0-nmod	0-nmod
22-4	5-mark	3-cc
22-5	3-acl	7-nsubj
22-6	7-aux	7-aux
22-7	11-root	11-root
22-8	9-case	9-case
22-9	7-nmod	7-nmod
22-10	7-punct	7-punct

23-0	2-case	2-case
23-1	2-amod	2-amod
23-2	3-nmod	3-nsubj
23-3	14-root	14-root
23-4	3-neg	5-advmod
23-5	3-nsubjpass	3-dobj
23-6	3-cc	5-cc
23-7	11-advmod	11-advmod
23-8	11-aux	11-aux
23-9	11-nsubj	11-nsubj
23-10	11-neg	11-advmod
23-11	3-conj	14-root
23-12	11-dobj	11-dobj
23-13	3-punct	11-punct

24-0	3-nsubj	3-nsubj
24-1	3-aux	3-aux
24-2	3-advmod	3-advmod
24-3	8-root	8-root
24-4	3-dobj	3-dobj
24-5	6-case	6-case
24-6	4-nmod	4-nmod
24-7	3-punct	3-punct

25-0	1-nsubj	1-nsubj
25-1	16-root	16-root
25-2	1-advmod	3-case
25-3	2-mwe	16-root
25-4	5-amod	5-amod
25-5	1-dobj	16-root
25-6	7-case	7-case
25-7	5-nmod	5-nmod
25-8	7-punct	7-punct
25-9	7-conj	5-nmod
25-10	7-cc	9-cc
25-11	12-case	12-case
25-12	7-conj	16-root
25-13	14-case	14-case
25-14	5-nmod	12-nmod
25-15	1-punct	12-punct

26-0	1-root	1-root

27-0	1-advmod	1-cc
27-1	4-nsubj	4-nsubj
27-2	1-cc	1-cc
27-3	1-conj	4-nsubj
27-4	10-root	10-root
27-5	4-dobj	10-root
27-6	8-case	8-case
27-7	8-det	8-amod
27-8	4-nmod	5-nmod
27-9	8-punct	5-punct

28-0	1-root	1-root

29-0	3-root	3-root
29-1	0-cc	0-cc
29-2	0-conj	0-nmod

30-0	3-root	3-root
30-1	0-cc	0-cc
30-2	0-conj	0-nmod

31-0	1-case	1-case
31-1	4-nmod	4-nsubj
31-2	4-aux	4-aux
31-3	4-advmod	4-advmod
31-4	6-root	6-root
31-5	4-punct	4-punct

32-0	1-root	1-root

33-0	1-root	1-root

34-0	3-root	3-root
34-1	0-cc	0-cc
34-2	0-conj	0-nmod

35-0	4-root	2-nsubj
35-1	0-punct	2-punct
35-2	0-acl	4-root
35-3	0-punct	2-punct

36-0	1-amod	1-amod
36-1	5-root	3-nsubj
36-2	1-punct	3-punct
36-3	1-acl	5-root
36-4	1-punct	3-punct

37-0	4-mark	22-mark
37-1	2-det	2-det
37-2	4-nsubj	22-root
37-3	4-cop	22-aux
37-4	5-csubj	22-root
37-5	22-root	4-conj
37-6	5-punct	9-punct
37-7	9-mark	9-mark
37-8	9-nsubjpass	9-nsubj
37-9	5-ccomp	4-conj
37-10	9-cc	9-cc
37-11	13-neg	13-advmod
37-12	13-advmod	13-advmod
37-13	9-conj	22-root
37-14	18-mark	18-mark
37-15	16-det	17-det
37-16	17-det	17-amod
37-17	18-nsubj	18-nsubj
37-18	9-advcl	22-root
37-19	20-det	20-amod
37-20	18-dobj	18-dobj
37-21	5-punct	18-punct

38-0	1-advmod	2-advmod
38-1	2-nsubj	2-nsubj
38-2	5-root	5-root
38-3	2-dobj	2-dobj
38-4	2-punct	2-punct

39-0	1-punct	1-punct
39-1	8-root	8-root
39-2	1-advmod	8-root
39-3	4-det	8-root
39-4	1-dobj	8-root
39-5	4-nmod	8-root
39-6	1-punct	5-punct
39-7	1-punct	5-punct

40-0	1-root	1-root

41-0	8-nsubj	20-nsubj
41-1	2-case	2-case
41-2	0-nmod	20-nsubj
41-3	8-cop	20-aux
41-4	5-case	5-case
41-5	8-nmod	20-nsubj
41-6	5-nummod	8-nummod
41-7	8-nummod	8-nummod
41-8	31-root	20-nsubj
41-9	10-case	10-case
41-10	8-nmod	20-nsubj
41-11	14-case	14-case
41-12	14-det	14-det
41-13	14-amod	14-amod
41-14	8-nmod	10-nmod
41-15	14-cc	14-cc
41-16	14-conj	20-nsubj
41-17	18-nmodCOLposs	18-det
41-18	20-nsubj	20-nsubj
41-19	20-neg	20-advmod
41-20	16-aclCOLrelcl	31-root
41-21	20-dobj	20-dobj
41-22	8-cc	21-cc
41-23	24-nummod	24-nummod
41-24	8-conj	31-root
41-25	28-case	28-case
41-26	28-nummod	28-nummod
41-27	28-amod	28-amod
41-28	24-nmod	31-root
41-29	28-nmod	28-advmod
41-30	8-punct	28-punct

42-0	1-advmod	1-advmod
42-1	7-root	7-root
42-2	4-case	4-case
42-3	4-det	4-amod
42-4	1-nmod	7-root
42-5	1-nsubj	4-nmod
42-6	1-punct	4-punct

43-0	1-case	1-case
43-1	2-nmod	2-nsubj
43-2	9-root	9-root
43-3	5-det	5-det
43-4	5-amod	5-amod
43-5	2-nsubj	2-dobj
43-6	7-case	7-case
43-7	2-nmod	5-nmod
43-8	2-punct	2-punct

44-0	1-det	1-amod
44-1	7-nsubj	11-root
44-2	7-cop	11-aux
44-3	4-case	4-case
44-4	7-nmod	11-root
44-5	4-nummod	7-nummod
44-6	7-nummod	7-nummod
44-7	11-root	11-root
44-8	9-case	9-case
44-9	7-nmod	7-nmod
44-10	7-punct	7-punct

45-0	1-amod	1-amod
45-1	4-dobj	4-nsubj
45-2	3-case	3-case
45-3	1-nmod	4-nsubj
45-4	19-root	19-root
45-5	4-nsubj	8-nsubj
45-6	4-punct	8-punct
