1-0	1-nsubj	15-root
1-1	15-root	0-dobj
1-2	4-punct	1-punct
1-3	4-mark	15-root
1-4	1-advcl	15-root
1-5	6-aux	15-root
1-6	4-ccomp	5-dobj
1-7	4-punct	6-punct
1-8	10-case	15-root
1-9	10-amod	15-root
1-10	1-cop	15-root
1-11	12-case	15-root
1-12	10-nmod	15-root
1-13	12-case	12-dobj
1-14	1-punct	13-punct

2-0	5-discourse	7-root
2-1	0-mwe	7-root
2-2	0-mwe	7-root
2-3	5-aux	7-root
2-4	5-aux	7-root
2-5	7-root	4-dobj
2-6	5-punct	5-punct

3-0	3-nsubj	5-root
3-1	3-aux	5-root
3-2	3-neg	5-root
3-3	5-root	2-dobj
3-4	3-punct	3-punct

4-0	8-root	8-root
4-1	0-iobj	8-root
4-2	0-expl	8-root
4-3	4-case	8-root
4-4	6-iobj	8-root
4-5	6-aux	8-root
4-6	0-csubj	5-dobj
4-7	0-punct	6-punct

5-0	7-root	7-root
5-1	0-aux	7-root
5-2	3-advmod	7-root
5-3	0-dobj	7-root
5-4	3-cc	7-root
5-5	3-conj	4-dobj
5-6	0-punct	5-punct

6-0	5-nsubj	9-root
6-1	3-punct	2-punct
6-2	3-amod	9-root
6-3	0-nmod	2-dobj
6-4	3-punct	5-punct
6-5	9-root	9-root
6-6	7-aux	9-root
6-7	5-ccomp	6-dobj
6-8	5-punct	7-punct

7-0	1-advmod	1-advmod
7-1	5-root	5-root
7-2	1-nmod	1-dobj
7-3	2-advmod	2-advmod
7-4	1-punct	2-punct

8-0	1-nsubj	4-root
8-1	4-root	4-root
8-2	1-advmod	1-dobj
8-3	1-punct	2-punct

9-0	1-case	9-root
9-1	3-nmod	9-root
9-2	3-expl	9-root
9-3	9-root	9-root
9-4	5-amod	9-root
9-5	3-nsubj	9-root
9-6	7-case	9-root
9-7	5-nmod	6-dobj
9-8	3-punct	7-punct

10-0	3-nsubj	5-root
10-1	3-advmod	5-root
10-2	3-expl	5-root
10-3	5-root	2-dobj
10-4	3-punct	3-punct

11-0	1-aux	8-root
11-1	8-root	8-root
11-2	1-advmod	1-dobj
11-3	1-punct	2-punct
11-4	6-advmod	8-root
11-5	6-aux	8-root
11-6	1-conj	5-dobj
11-7	1-punct	6-punct

12-0	3-nsubj	7-root
12-1	3-advmod	2-advmod
12-2	3-expl	7-root
12-3	7-root	7-root
12-4	5-case	7-root
12-5	3-nmod	4-dobj
12-6	3-punct	5-punct

13-0	1-amod	6-root
13-1	2-nsubj	6-root
13-2	6-root	6-root
13-3	4-det	6-root
13-4	2-dobj	3-dobj
13-5	2-punct	4-punct

14-0	5-root	5-root
14-1	0-nsubj	5-root
14-2	1-cc	5-root
14-3	1-conj	2-dobj
14-4	0-punct	3-punct

15-0	2-amod	6-root
15-1	2-amod	6-root
15-2	3-nsubj	6-root
15-3	6-root	6-root
15-4	3-dobj	3-dobj
15-5	3-punct	4-punct

16-0	5-nsubj	12-root
16-1	2-case	12-root
16-2	0-nmod	1-dobj
16-3	0-punct	4-punct
16-4	0-det	12-root
16-5	12-root	12-root
16-6	7-amod	12-root
16-7	5-cop	12-root
16-8	10-case	12-root
16-9	10-amod	12-root
16-10	7-nmod	9-dobj
16-11	5-punct	10-punct

17-0	5-nsubj	9-root
17-1	3-punct	0-punct
17-2	3-amod	9-root
17-3	0-nmod	2-dobj
17-4	3-punct	3-punct
17-5	9-root	9-root
17-6	7-aux	9-root
17-7	5-ccomp	6-dobj
17-8	5-punct	7-punct

18-0	2-advmod	1-advmod
18-1	2-expl	9-root
18-2	9-root	9-root
18-3	2-nsubj	9-root
18-4	3-nmod	9-root
18-5	6-case	9-root
18-6	3-nmod	9-root
18-7	6-case	6-dobj
18-8	2-punct	7-punct

19-0	2-vocative	5-root
19-1	0-punct	0-punct
19-2	5-root	5-root
19-3	2-dobj	2-dobj
19-4	2-punct	3-punct

20-0	5-root	5-root
20-1	0-aux	5-root
20-2	3-aux	5-root
20-3	0-ccomp	2-dobj
20-4	0-punct	3-punct

21-0	2-nsubj	10-root
21-1	2-expl	10-root
21-2	10-root	1-dobj
21-3	2-punct	2-punct
21-4	2-conj	10-root
21-5	4-dobj	10-root
21-6	2-cc	10-root
21-7	2-conj	10-root
21-8	7-dobj	7-dobj
21-9	2-punct	8-punct

22-0	14-root	14-root
22-1	0-dobj	14-root
22-2	3-case	14-root
22-3	0-nmod	14-root
22-4	0-cc	3-dobj
22-5	9-advmod	6-advmod
22-6	9-neg	14-root
22-7	9-aux	14-root
22-8	9-dobj	14-root
22-9	0-conj	14-root
22-10	11-cop	14-root
22-11	9-ccomp	14-root
22-12	11-nsubj	11-dobj
22-13	0-punct	12-punct

23-0	2-nsubj	11-root
23-1	2-expl	11-root
23-2	11-root	1-dobj
23-3	4-punct	2-punct
23-4	2-cc	11-root
23-5	8-nsubj	11-root
23-6	7-case	11-root
23-7	5-nmod	11-root
23-8	2-conj	11-root
23-9	8-dobj	8-dobj
23-10	2-punct	9-punct

24-0	2-cop	9-root
24-1	0-discourse	9-root
24-2	9-root	9-root
24-3	2-nsubj	2-dobj
24-4	5-punct	3-punct
24-5	2-cc	9-root
24-6	2-conj	9-root
24-7	6-cop	6-dobj
24-8	2-punct	7-punct

25-0	3-nsubj	8-root
25-1	3-neg	8-root
25-2	3-aux	8-root
25-3	8-root	8-root
25-4	5-aux	8-root
25-5	3-ccomp	8-root
25-6	5-dobj	5-dobj
25-7	3-punct	6-punct

26-0	9-root	9-root
26-1	2-neg	9-root
26-2	7-advmod	1-dobj
26-3	4-punct	2-punct
26-4	2-cc	9-root
26-5	2-conj	9-root
26-6	7-aux	9-root
26-7	0-ccomp	6-dobj
26-8	0-punct	7-punct

27-0	6-root	6-root
27-1	4-dobj	6-root
27-2	0-ccomp	6-root
27-3	4-aux	6-root
27-4	2-ccomp	3-dobj
27-5	0-punct	4-punct

28-0	4-nmod	9-root
28-1	0-punct	0-punct
28-2	4-nsubj	9-root
28-3	4-aux	9-root
28-4	9-root	9-root
28-5	7-aux	9-root
28-6	7-expl	9-root
28-7	4-ccomp	6-dobj
28-8	4-punct	7-punct

29-0	2-case	9-root
29-1	2-aux	9-root
29-2	6-nmod	9-root
29-3	4-case	9-root
29-4	2-iobj	3-dobj
29-5	2-punct	4-punct
29-6	9-root	9-root
29-7	6-iobj	6-dobj
29-8	6-punct	7-punct

30-0	2-nsubj	8-root
30-1	2-dobj	8-root
30-2	8-root	1-dobj
30-3	6-punct	2-punct
30-4	6-case	8-root
30-5	6-aux	8-root
30-6	2-nmod	5-dobj
30-7	2-punct	6-punct

31-0	4-nsubj	12-root
31-1	4-advmod	12-root
31-2	4-aux	12-root
31-3	4-dobj	12-root
