1-0	2-acl	5-root
1-1	2-det	0-dobj
1-2	5-root	0-dobj
1-3	2-name	0-dobj
1-4	2-punct	0-dobj

2-0	5-nmod	3-dobj
2-1	0-punct	3-dobj
2-2	5-aux	3-dobj
2-3	5-cop	19-root
2-4	5-det	3-dobj
2-5	19-root	4-dobj
2-6	9-case	7-mark
2-7	9-case	19-root
2-8	9-det	7-dobj
2-9	9-amod	7-amod
2-10	5-nmod	9-dobj
2-11	9-amod	12-amod
2-12	13-case	13-mark
2-13	13-case	7-cc
2-14	13-det	19-advmodCOLemph
2-15	5-nmod	19-root
2-16	15-case	15-dobj
2-17	13-nmod	15-dobj
2-18	5-punct	15-dobj

3-0	2-case	1-mark
3-1	2-case	6-dobj
3-2	2-det	1-dobj
3-3	5-nmod	2-dobj
3-4	2-amod	1-amod
3-5	5-nsubj	6-dobj
3-6	32-root	32-root
3-7	7-mark	6-dobj
3-8	5-ccomp	6-conj
3-9	9-det	8-dobj
3-10	7-dobj	9-dobj
3-11	12-case	10-dobj
3-12	12-det	10-dobj
3-13	9-nmod	12-dobj
3-14	5-punct	15-dobj
3-15	5-advcl	8-conj
3-16	20-mark	17-mark
3-17	17-det	15-dobj
3-18	20-nsubj	15-dobj
3-19	20-aux	15-dobj
3-20	20-advmod	21-dobj
3-21	14-ccomp	15-advcl
3-22	22-case	21-dobj
3-23	20-nmod	21-dobj
3-24	24-det	21-dobj
3-25	20-dobj	31-dobj
3-26	27-case	27-mark
3-27	27-case	25-dobj
3-28	27-det	25-dobj
3-29	24-nmod	25-dobj
3-30	27-nmod	25-dobj
3-31	5-punct	6-dobj

4-0	1-amod	7-root
4-1	7-root	0-dobj
4-2	4-case	3-mark
4-3	4-case	1-dobj
4-4	4-det	1-dobj
4-5	1-nmod	1-dobj
4-6	1-punct	0-dobj

5-0	2-det	6-dobj
5-1	2-amod	0-amod
5-2	7-root	1-dobj
5-3	5-det	2-dobj
5-4	5-amod	3-amod
5-5	2-conj	4-dobj
5-6	2-punct	7-root

6-0	34-root	34-root
6-1	0-dobj	0-dobj
6-2	3-mark	3-dobj
6-3	0-xcomp	0-conj
6-4	20-mark	5-mark
6-5	6-det	3-dobj
6-6	20-nsubj	33-dobj
6-7	6-amod	6-amod
6-8	9-case	7-dobj
6-9	6-nmod	7-dobj
6-10	9-amod	9-amod
6-11	9-punct	10-dobj
6-12	13-case	20-dobj
6-13	9-conj	12-dobj
6-14	9-cc	13-cc
6-15	16-case	20-dobj
6-16	9-conj	15-dobj
6-17	16-amod	16-amod
6-18	6-punct	20-dobj
6-19	20-aux	20-dobj
6-20	3-ccomp	10-conj
6-21	20-dobj	20-dobj
6-22	23-nsubj	20-dobj
6-23	21-aclCOLrelcl	20-conj
6-24	23-xcomp	23-conj
6-25	24-dobj	24-dobj
6-26	32-dobj	25-dobj
6-27	32-nsubj	26-dobj
6-28	32-neg	27-dobj
6-29	32-aux	28-dobj
6-30	32-advmod	32-dobj
6-31	32-neg	32-dobj
6-32	25-aclCOLrelcl	24-conj
6-33	0-punct	0-dobj

7-0	6-nsubj	6-dobj
7-1	6-neg	0-dobj
7-2	6-expl	1-dobj
7-3	6-aux	2-dobj
7-4	6-advmod	6-dobj
7-5	6-aux	6-dobj
7-6	29-root	29-root
7-7	6-punct	6-dobj
7-8	12-mark	9-mark
7-9	11-det	6-dobj
7-10	11-detCOLposs	6-dobj
7-11	12-nsubj	12-dobj
7-12	6-advcl	6-conj
7-13	14-det	12-dobj
7-14	12-dobj	24-dobj
7-15	14-amod	14-amod
7-16	12-punct	15-dobj
7-17	12-cc	16-cc
7-18	19-det	15-dobj
7-19	12-conj	18-dobj
7-20	19-neg	19-dobj
7-21	12-punct	24-dobj
7-22	23-det	24-dobj
7-23	24-nsubj	24-dobj
7-24	12-conj	12-conj
7-25	27-case	24-dobj
7-26	27-det	25-dobj
7-27	24-nmod	26-dobj
7-28	6-punct	6-dobj

8-0	4-det	21-dobj
8-1	4-amod	0-amod
8-2	1-punct	1-dobj
8-3	1-conj	1-conj
8-4	15-nsubj	3-dobj
8-5	7-case	6-mark
8-6	7-case	4-dobj
8-7	7-det	4-dobj
8-8	4-nmod	7-dobj
8-9	7-amod	8-amod
8-10	13-case	9-dobj
8-11	13-det	10-dobj
8-12	13-detCOLposs	10-dobj
8-13	13-punct	16-dobj
8-14	4-nmod	16-dobj
8-15	13-punct	16-dobj
8-16	22-root	9-conj
8-17	18-case	16-nmod
8-18	18-case	16-dobj
8-19	18-det	18-dobj
8-20	15-nmod	16-dobj
8-21	15-punct	22-root

9-0	1-advmod	3-dobj
9-1	7-nsubj	0-dobj
9-2	1-punct	3-dobj
9-3	7-parataxis	35-root
9-4	3-nsubj	3-dobj
9-5	3-punct	3-dobj
9-6	7-punct	7-dobj
9-7	35-root	3-conj
9-8	9-det	7-dobj
9-9	7-dobj	7-dobj
9-10	7-punct	23-dobj
9-11	14-case	23-dobj
9-12	14-det	11-dobj
9-13	14-amod	12-amod
9-14	9-nmod	13-dobj
9-15	7-punct	13-dobj
9-16	7-cc	13-cc
9-17	23-punct	13-dobj
9-18	19-det	23-dobj
9-19	23-nsubj	18-dobj
9-20	21-case	19-dobj
9-21	19-nmod	18-dobj
9-22	23-neg	23-dobj
9-23	7-conj	7-ccomp
9-24	25-mark	26-dep
9-25	23-xcomp	26-mark
9-26	23-xcomp	23-conj
9-27	25-expl	26-dobj
9-28	30-case	26-nmod
9-29	30-case	26-dobj
9-30	30-det	29-dobj
9-31	30-detCOLposs	30-dobj
9-32	25-nmod	31-dobj
9-33	23-punct	29-dobj
9-34	7-punct	3-dobj

10-0	1-det	4-dobj
10-1	5-root	0-dobj
10-2	3-case	1-dobj
10-3	1-nmod	0-dobj
10-4	1-punct	5-root

11-0	1-det	9-dobj
11-1	19-nsubj	0-dobj
11-2	4-case	3-mark
11-3	4-case	1-dobj
11-4	4-det	1-dobj
11-5	1-nmod	4-dobj
11-6	11-punct	9-dobj
11-7	7-det	9-nsubj
11-8	11-nsubj	9-dobj
11-9	11-cop	63-root
11-10	11-advmod	9-dobj
11-11	11-det	10-dobj
11-12	4-advcl	11-dobj
11-13	11-amod	14-amod
11-14	15-case	15-mark
11-15	15-case	12-dobj
11-16	15-det	12-dobj
11-17	11-nmod	9-dobj
11-18	11-punct	9-dobj
11-19	19-cop	9-conj
11-20	19-punct	19-dobj
11-21	63-root	19-amod
11-22	19-mwe	21-dobj
11-23	19-punct	21-dobj
11-24	19-punct	21-dobj
11-25	19-cc	21-cc
11-26	25-det	21-dobj
11-27	28-nsubjpass	26-dobj
11-28	28-aux	21-dobj
11-29	28-auxpass	21-dobj
11-30	19-conj	21-advcl
11-31	31-case	30-nmod
11-32	31-case	30-dobj
11-33	31-det	32-dobj
11-34	28-nmod	33-dobj
11-35	28-cc	34-cc
11-36	34-det	34-dobj
11-37	39-nsubj	34-dobj
11-38	34-amod	37-amod
11-39	34-nmod	38-dobj
11-40	36-name	39-dobj
11-41	39-aux	42-dobj
11-42	28-conj	38-conj
11-43	41-det	42-dobj
11-44	39-dobj	43-dobj
11-45	44-case	62-dobj
11-46	44-det	45-dobj
11-47	41-nmod	45-dobj
11-48	46-case	47-dobj
11-49	44-nmod	48-dobj
11-50	49-case	51-mark
11-51	49-case	45-cc
11-52	49-det	51-dobj
11-53	46-nmod	62-dobj
11-54	52-case	55-mark
11-55	52-case	53-dobj
11-56	52-det	53-dobj
11-57	49-nmod	62-dobj
11-58	55-case	59-mark
11-59	55-case	57-dobj
11-60	55-det	57-dobj
11-61	52-nmod	60-dobj
11-62	19-punct	9-dobj

12-0	2-det	7-dobj
12-1	2-det	0-dobj
12-2	22-nmod	1-dobj
12-3	4-detCOLposs	2-dobj
12-4	22-nsubj	3-dobj
12-5	4-punct	7-dobj
12-6	7-nsubj	7-dobj
12-7	4-aclCOLrelcl	48-root
12-8	9-det	7-dobj
12-9	7-dobj	8-dobj
12-10	11-case	9-dobj
12-11	9-nmod	10-dobj
12-12	13-case	7-dobj
12-13	7-nmod	12-dobj
12-14	16-case	15-mark
12-15	16-case	13-dobj
12-16	16-det	13-dobj
12-17	13-nmod	16-dobj
12-18	13-punct	7-dobj
12-19	19-case	7-dobj
12-20	13-nmod	19-dobj
12-21	4-punct	7-dobj
12-22	22-aux	24-dobj
12-23	48-root	24-mark
12-24	48-root	7-conj
12-25	22-dobj	24-dobj
12-26	22-advmod	34-dobj
12-27	27-case	28-mark
12-28	27-case	34-dobj
12-29	27-det	28-dobj
12-30	22-nmod	28-dobj
12-31	22-punct	34-dobj
12-32	31-mark	34-mark
12-33	31-expl	34-dobj
12-34	22-advcl	24-conj
12-35	33-det	34-dobj
12-36	31-nmod	34-dobj
12-37	22-punct	34-dobj
12-38	22-cc	34-cc
12-39	41-nsubj	34-dobj
12-40	41-neg	34-dobj
12-41	41-expl	40-dobj
12-42	41-dobj	40-dobj
12-43	41-aux	44-dobj
12-44	22-conj	34-conj
12-45	43-mark	44-dobj
12-46	41-xcomp	44-conj
12-47	22-punct	7-dobj

13-0	30-nsubjpass	52-dobj
13-1	0-name	0-dobj
13-2	0-punct	52-dobj
13-3	4-amod	2-amod
13-4	0-appos	3-dobj
13-5	7-case	3-case
13-6	7-case	5-dobj
13-7	7-det	5-dobj
13-8	4-nmod	7-dobj
