1-0	2-nsubj	2-nsubj
1-1	2-neg	2-advmod
1-2	70-root	70-root
1-3	4-caseCOLacc	70-root
1-4	2-dobj	5-mark
1-5	2-dobj	14-nmod
1-6	4-nmodCOLposs	14-nsubj
1-7	2-punct	8-punct
1-8	17-nsubj	14-nsubj
1-9	7-cc	14-mark
1-10	7-cc	9-cc
1-11	7-conj	14-nsubj
1-12	12-mark	14-mark
1-13	12-mark	14-mark
1-14	12-aux	70-root
1-15	7-aclCOLrelcl	16-aux
1-16	12-dep	14-ccomp
1-17	15-case	19-mark
1-18	15-case	19-case
1-19	12-nmod	16-nmod
1-20	17-punct	14-punct
1-21	2-conjCOLdiscourse	14-ccomp
1-22	19-case	30-mark
1-23	19-case	24-case
1-24	17-iobj	30-nsubj
1-25	19-cc	30-mark
1-26	19-cc	25-cc
1-27	19-conj	30-nsubj
1-28	23-mark	30-mark
1-29	23-mark	30-mark
1-30	19-aclCOLrelcl	14-conj
1-31	27-caseCOLacc	70-root
1-32	27-det	33-det
1-33	27-detCOLdef	42-mark
1-34	27-detCOLdef	35-det
1-35	23-dobj	42-nsubj
1-36	29-detCOLdef	42-mark
1-37	29-detCOLdef	39-det
1-38	27-amod	39-amod
1-39	19-nmod	42-nsubj
1-40	32-mark	42-mark
1-41	32-mark	42-mark
1-42	30-aclCOLrelcl	70-root
1-43	35-case	46-case
1-44	35-case	46-case
1-45	35-detCOLdef	46-det
1-46	32-nmod	42-nmod
1-47	32-xcomp	46-acl
1-48	38-case	51-mark
1-49	38-case	50-case
1-50	32-nmod	51-nmod
1-51	38-amod	70-root
1-52	41-nsubj	53-nsubj
1-53	38-acl	51-conj
1-54	41-punct	53-punct
1-55	46-nsubj	58-name
1-56	43-cc	58-case
1-57	43-cc	56-cc
1-58	43-conj	53-nmod
1-59	41-conjCOLdiscourse	70-root
1-60	50-case	70-root
1-61	50-case	70-root
1-62	50-det	63-det
1-63	50-detCOLdef	70-root
1-64	50-detCOLdef	65-det
1-65	46-nmod	70-root
1-66	52-case	68-mark
1-67	52-case	68-case
1-68	46-nmod	65-nmod
1-69	2-punct	65-punct

2-0	2-case	3-mark
2-1	2-case	3-case
2-2	2-detCOLdef	3-det
2-3	10-nmod	7-nsubj
2-4	5-dep	7-det
2-5	5-punct	7-punct
2-6	2-amod	7-nsubj
2-7	10-aux	15-root
2-8	10-nsubj	15-root
2-9	9-detCOLdef	15-root
2-10	9-detCOLdef	11-det
2-11	7-nmodCOLsmixut	15-root
2-12	15-root	13-nummod
2-13	10-nummod	11-nummod
2-14	10-punct	11-punct

3-0	4-nsubj	5-mark
3-1	4-nsubj	5-nsubj
3-2	0-nmodCOLposs	5-nsubj
3-3	3-caseCOLgen	5-neg
3-4	0-nmodCOLposs	5-nsubj
3-5	18-root	18-root
3-6	6-case	7-case
3-7	4-nmod	5-dobj
3-8	8-caseCOLacc	18-root
3-9	4-dobj	18-root
3-10	10-detCOLdef	12-mark
3-11	10-detCOLdef	12-det
3-12	8-nmodCOLsmixut	9-nmod
3-13	13-case	16-case
3-14	13-punct	16-punct
3-15	8-advmod	16-nummod
3-16	13-nummod	12-nummod
3-17	4-punct	9-punct

4-0	4-cc	5-cc
4-1	4-nsubj	4-name
4-2	1-cc	4-case
4-3	1-cc	2-cc
4-4	1-conj	5-nsubj
4-5	22-root	22-root
4-6	6-case	8-case
4-7	6-case	8-case
4-8	4-nmod	5-nmod
4-9	6-nmodCOLposs	12-nsubj
4-10	4-cc	12-mark
4-11	4-cc	10-cc
4-12	4-conj	5-ccomp
4-13	12-caseCOLacc	16-advmodCOLemph
4-14	12-detCOLdef	16-mark
4-15	12-detCOLdef	16-det
4-16	9-dobj	12-nmod
4-17	14-punct	12-punct
4-18	12-appos	19-nummod
4-19	14-nummod	22-root
4-20	14-punct	19-punct
4-21	4-punct	19-punct

5-0	2-advmod	1-advmod
5-1	2-aux	20-root
5-2	20-root	20-root
5-3	7-mark	9-mark
5-4	7-mark	9-mark
5-5	7-nsubj	9-nsubj
5-6	6-detCOLdef	8-mark
5-7	6-detCOLdef	8-det
5-8	4-nmodCOLsmixut	9-nsubj
5-9	2-ccomp	2-ccomp
5-10	11-advmod	9-cc
5-11	8-cc	20-root
5-12	8-cc	11-cc
5-13	8-conj	20-root
5-14	13-case	20-root
5-15	13-case	17-case
5-16	13-detCOLdef	17-det
5-17	7-iobj	20-root
5-18	13-name	17-nmod
5-19	2-punct	17-punct

6-0	1-nsubj	1-nsubj
6-1	8-root	8-root
6-2	1-neg	3-advmod
6-3	1-xcomp	8-root
6-4	5-caseCOLacc	6-mark
6-5	5-caseCOLacc	6-neg
6-6	3-dobj	3-dobj
6-7	1-punct	3-punct

7-0	45-root	45-root
7-1	2-case	8-mark
7-2	2-case	3-case
7-3	0-nmod	8-nsubj
7-4	0-nsubj	8-nsubj
7-5	3-nmodCOLsmixut	4-nmod
7-6	6-mark	8-mark
7-7	6-mark	8-mark
7-8	3-aclCOLrelcl	0-ccomp
7-9	9-caseCOLacc	16-neg
7-10	9-detCOLdef	16-mark
7-11	9-detCOLdef	12-det
7-12	6-dobj	16-nsubj
7-13	11-case	15-mark
7-14	11-case	15-case
7-15	6-nmod	16-nsubj
7-16	11-amod	19-amod
7-17	6-punct	16-punct
7-18	15-case	19-case
7-19	6-nmod	27-nsubj
7-20	15-name	27-nsubj
7-21	18-case	23-mark
7-22	18-case	23-case
7-23	15-nmod	27-nmod
7-24	15-nmod	27-nmod
7-25	21-mark	27-mark
7-26	21-mark	27-mark
7-27	19-aclCOLrelcl	0-conj
7-28	23-caseCOLacc	32-neg
7-29	21-dobj	32-nsubj
7-30	23-nmodCOLsmixut	29-nmod
7-31	26-advmod	32-advmod
7-32	21-advmod	36-xcomp
7-33	21-punct	36-punct
7-34	30-mark	36-mark
7-35	30-neg	36-advmod
7-36	21-ccomp	27-ccomp
7-37	32-case	39-case
7-38	32-case	39-case
7-39	30-nmod	36-nmod
7-40	30-nsubj	43-advmod
7-41	35-mark	43-mark
7-42	35-mark	43-mark
7-43	33-aclCOLrelcl	0-advcl
7-44	0-punct	0-punct

8-0	1-nsubj	1-nsubj
8-1	18-root	18-root
8-2	1-dobj	18-root
8-3	5-case	5-case
8-4	5-punct	5-punct
8-5	1-advmod	7-nummod
8-6	7-punct	5-punct
8-7	5-appos	18-root
8-8	7-nummod	7-nummod
8-9	7-punct	7-punct
8-10	5-cc	7-cc
8-11	5-punct	7-punct
8-12	5-conj	7-nummod
8-13	14-punct	7-punct
8-14	12-appos	7-nmod
8-15	14-nummod	14-nummod
8-16	14-punct	7-punct
8-17	1-punct	7-punct

9-0	21-nsubj	28-mark
9-1	21-nsubj	28-nmod
9-2	0-nmodCOLposs	28-nsubj
9-3	3-caseCOLgen	28-neg
9-4	0-nmodCOLposs	28-nsubj
9-5	5-case	28-mark
9-6	5-case	7-case
9-7	0-nmod	28-nmod
9-8	7-detCOLdef	28-mark
9-9	7-detCOLdef	10-det
9-10	5-nmodCOLsmixut	28-nmod
9-11	9-case	13-mark
9-12	9-case	13-case
9-13	5-nmod	10-nmod
9-14	0-punct	28-punct
9-15	0-cc	28-mark
9-16	0-cc	15-cc
9-17	0-conj	28-nmod
9-18	12-nmodCOLposs	28-nsubj
9-19	15-caseCOLgen	28-neg
9-20	12-nmodCOLposs	28-nsubj
9-21	17-case	28-mark
9-22	17-case	23-case
9-23	12-nmod	28-nmod
9-24	19-detCOLdef	26-mark
9-25	19-detCOLdef	26-det
9-26	17-nmodCOLsmixut	23-nmod
9-27	21-punct	23-punct
9-28	36-root	36-root
9-29	23-caseCOLacc	34-advmodCOLemph
9-30	21-dobj	34-nsubj
9-31	26-case	34-mark
9-32	26-case	34-case
9-33	26-detCOLdef	34-det
9-34	21-iobj	28-nmod
9-35	21-punct	28-punct

10-0	1-nsubj	1-nsubj
10-1	41-root	41-root
10-2	3-case	15-mark
10-3	3-case	4-case
10-4	1-nmod	15-nsubj
10-5	3-nmodCOLsmixut	4-nmod
10-6	6-punct	4-punct
10-7	4-appos	15-nsubj
10-8	8-case	15-mark
10-9	8-case	10-case
10-10	6-nmod	15-nsubj
10-11	8-nmodCOLsmixut	10-nmod
10-12	6-punct	15-punct
10-13	12-mark	15-mark
10-14	12-mark	15-mark
10-15	4-aclCOLrelcl	1-ccomp
10-16	16-detCOLquant	41-root
10-17	16-case	41-root
10-18	16-case	20-case
10-19	16-detCOLdef	20-det
10-20	12-dobj	41-root
10-21	18-case	41-root
10-22	18-case	23-case
10-23	16-nmod	41-root
10-24	18-nmodCOLsmixut	23-nmod
10-25	23-case	28-case
10-26	20-mwe	28-case
10-27	23-nummod	28-nummod
10-28	16-nmod	23-nmod
10-29	23-advmod	36-advmod
10-30	23-punct	36-punct
10-31	23-nummod	36-nummod
10-32	26-nummod	36-nummod
10-33	30-case	36-mark
10-34	30-case	36-case
10-35	30-detCOLdef	36-det
10-36	23-nmod	23-nmod
10-37	33-dep	39-det
10-38	33-punct	39-punct
10-39	30-amod	36-nummod
10-40	1-punct	23-punct

11-0	16-cc	3-cc
11-1	2-detCOLdef	3-mark
11-2	2-detCOLdef	3-det
11-3	16-nsubj	27-root
11-4	4-caseCOLgen	5-advmodCOLemph
11-5	2-nmod	3-nmod
11-6	2-punct	27-punct
11-7	7-case	27-root
11-8	7-case	9-case
11-9	2-nmod	27-root
11-10	7-nmodCOLsmixut	27-root
11-11	8-amod	10-amod
11-12	11-punct	10-punct
11-13	7-appos	27-root
11-14	13-case	19-mark
11-15	13-case	16-case
11-16	11-nmod	19-nmod
11-17	13-nmodCOLsmixut	16-nmod
11-18	11-punct	16-punct
11-19	27-root	13-conj
11-20	18-caseCOLacc	25-neg
11-21	16-dobj	25-nsubj
11-22	20-case	24-mark
11-23	20-case	24-case
11-24	16-nmod	25-nsubj
11-25	20-amod	19-conj
11-26	16-punct	13-punct

12-0	2-case	7-mark
12-1	2-case	3-case
12-2	2-detCOLdef	3-det
12-3	20-nmod	7-nmod
12-4	4-case	7-mark
12-5	4-case	6-case
12-6	5-nmod	7-nsubj
12-7	2-acl	33-root
12-8	5-nsubj	9-nsubj
12-9	5-dobj	7-nmod
12-10	5-punct	7-punct
12-11	12-dep	23-advmod
12-12	12-det	23-mark
12-13	12-det	15-case
12-14	12-det	15-det
12-15	5-dep	23-nsubj
12-16	12-nmodCOLsmixut	15-nmod
12-17	12-advmod	18-advmod
12-18	12-advmod	20-advmod
12-19	17-punct	20-punct
12-20	12-appos	15-nummod
12-21	17-punct	23-punct
12-22	20-neg	23-advmod
12-23	33-root	7-ccomp
12-24	23-case	31-mark
12-25	23-case	27-case
12-26	23-detCOLdef	27-det
12-27	20-nmod	31-nsubj
12-28	25-case	31-mark
12-29	25-case	31-case
12-30	20-nmod	31-advmod
12-31	25-dep	7-advcl
12-32	20-punct	7-punct

13-0	8-nsubj	1-case
13-1	8-nsubj	47-root
13-2	0-nmodCOLposs	47-root
13-3	3-detCOLdef	5-mark
13-4	3-detCOLdef	5-det
13-5	0-amod	47-root
13-6	5-caseCOLgen	11-neg
13-7	0-nmodCOLposs	11-nsubj
13-8	5-cc	11-mark
13-9	5-cc	8-cc
13-10	5-conj	11-nsubj
13-11	47-root	5-conj
13-12	10-case	13-case
13-13	8-iobj	11-nmod
13-14	10-amod	15-nummod
13-15	10-amod	13-amod
13-16	14-caseCOLgen	47-root
13-17	10-nmod	47-root
13-18	14-amod	47-root
13-19	15-nmodCOLsmixut	47-root
13-20	18-case	22-case
13-21	18-case	22-case
13-22	15-dep	19-nmod
13-23	18-nmodCOLposs	27-nsubj
13-24	22-dep	27-mark
13-25	22-dep	27-case
13-26	22-detCOLdef	27-det
13-27	15-dep	22-nmod
13-28	25-punct	19-punct
13-29	25-nummod	30-nummod
13-30	14-appos	19-nmod
13-31	28-case	34-case
13-32	28-detCOLdef	34-mark
13-33	28-detCOLdef	34-det
13-34	25-nmod	30-nmod
13-35	25-punct	41-punct
13-36	14-cc	41-mark
13-37	14-cc	36-cc
13-38	14-conj	41-nsubj
13-39	33-mark	41-mark
13-40	33-mark	41-mark
13-41	31-aclCOLrelcl	34-acl
13-42	35-case	44-mark
13-43	35-case	44-case
13-44	33-iobj	41-nmod
13-45	35-nummod	44-nummod
13-46	8-punct	19-punct

14-0	10-root	5-advmod
14-1	4-mark	5-mark
14-2	4-mark	5-mark
14-3	3-detCOLdef	4-det
14-4	4-nsubj	5-nsubj
14-5	0-ccomp	10-root
14-6	6-case	8-mark
14-7	6-case	8-case
14-8	4-iobj	5-nmod
14-9	0-punct	5-punct

15-0	1-advmod	1-det
15-1	35-root	13-advmod
15-2	1-punct	13-punct
15-3	18-mark	13-mark
15-4	18-mark	13-mark
15-5	5-detCOLdef	6-det
15-6	18-nsubj	13-nsubj
15-7	7-detCOLdef	13-mark
15-8	7-detCOLdef	13-det
15-9	5-amod	13-nsubj
15-10	10-mark	13-mark
15-11	10-mark	13-mark
15-12	10-punct	13-punct
15-13	5-aclCOLrelcl	35-root
15-14	10-punct	17-punct
15-15	10-cc	17-mark
15-16	10-cc	15-cc
15-17	10-conj	13-ccomp
15-18	15-case	20-mark
15-19	15-case	20-case
15-20	10-nmod	17-dobj
15-21	15-amod	20-amod
15-22	18-punct	13-punct
15-23	1-ccomp	13-ccomp
15-24	20-case	35-root
15-25	20-case	26-case
15-26	18-iobj	35-root
15-27	20-acl	35-root
15-28	21-nmodCOLsmixut	27-nmod
15-29	24-case	30-case
15-30	18-nmod	35-root
15-31	26-detCOLdef	33-mark
15-32	26-detCOLdef	33-det
15-33	24-nmodCOLsmixut	30-nmod
15-34	1-punct	30-punct

16-0	14-subjCOLcop	3-advmod
16-1	2-mark	3-mark
16-2	2-mark	3-mark
16-3	0-aclCOLrelcl	25-root
16-4	4-case	6-mark
16-5	4-case	6-case
16-6	2-nmod	3-dobj
16-7	2-punct	3-punct
16-8	7-advmod	17-advmod
16-9	9-case	17-mark
16-10	9-case	12-case
16-11	9-detCOLdef	12-det
16-12	2-nmod	17-nmod
16-13	11-detCOLdef	15-mark
16-14	11-detCOLdef	15-det
16-15	9-amod	12-amod
16-16	14-punct	12-punct
16-17	14-cop	25-root
16-18	25-root	25-root
16-19	14-nmodCOLsmixut	18-nmod
16-20	15-name	23-nummod
16-21	18-case	23-mark
16-22	18-case	23-case
16-23	16-name	18-nmod
16-24	14-punct	18-punct

17-0	5-nsubj	6-mark
17-1	5-nsubj	6-nsubj
17-2	0-nmodCOLposs	6-nsubj
17-3	3-caseCOLgen	6-neg
17-4	0-nmodCOLposs	5-name
17-5	3-name	6-nsubj
17-6	21-root	21-root
17-7	8-case	21-root
17-8	8-detCOLdef	21-root
17-9	8-detCOLdef	10-det
17-10	5-iobj	21-root
17-11	11-case	14-mark
17-12	11-case	14-case
17-13	11-detCOLdef	14-det
17-14	8-nmod	10-nmod
17-15	5-punct	10-punct
17-16	14-case	17-case
17-17	5-nmod	10-nmod
17-18	16-caseCOLgen	19-advmodCOLemph
17-19	14-nmodCOLposs	17-nmod
17-20	5-punct	10-punct

18-0	1-case	4-case
18-1	3-nmod	4-mark
18-2	3-nmod	4-nmod
18-3	1-nmodCOLposs	4-nsubj
18-4	10-root	10-root
18-5	5-caseCOLacc	10-root
18-6	3-dobj	10-root
18-7	5-name	10-root
