1-0	1-nsubj	1-nsubj
1-1	20-root	20-root
1-2	11-mark	11-mark
1-3	11-aux	11-aux
1-4	5-amod	5-amod
1-5	11-nsubj	11-nmod
1-6	7-case	7-case
1-7	5-nmod	5-nmod
1-8	10-case	11-advmod
1-9	10-nummod	10-nummod
1-10	11-nmod	11-nmod
1-11	1-ccomp	20-root
1-12	11-dobj	20-root
1-13	12-nmod	12-nmod
1-14	5-punct	15-punct
1-15	18-advmod	18-advmod
1-16	17-discourse	18-mark
1-17	5-cc	18-cc
1-18	5-conj	12-nmod
1-19	1-punct	12-punct

2-0	1-nmod	1-amod
2-1	2-nsubj	2-nmod
2-2	11-root	11-root
2-3	2-aux	4-aux
2-4	2-xcomp	11-root
2-5	4-dobj	4-nmod
2-6	7-case	7-case
2-7	5-nmod	5-nmod
2-8	7-compound	7-cc
2-9	10-compound	5-nmod
2-10	7-compound	4-nmod

3-0	2-nummod	2-amod
3-1	2-amod	2-amod
3-2	6-nsubj	32-root
3-3	4-case	4-case
3-4	2-nmod	2-nmod
3-5	6-cop	11-aux
3-6	32-root	11-nsubj
3-7	11-mark	11-nsubj
3-8	11-dobj	11-nsubj
3-9	11-cop	11-aux
3-10	11-advmod	11-advmod
3-11	6-acl	4-amod
3-12	20-mark	32-mark
3-13	20-nsubj	32-root
3-14	19-mark	32-root
3-15	16-amod	16-amod
3-16	19-nsubjpass	32-root
3-17	19-neg	32-root
3-18	19-auxpass	32-aux
3-19	13-acl	32-root
3-20	11-csubj	19-conj
3-21	20-xcomp	22-aux
3-22	21-xcomp	24-amod
3-23	24-case	24-case
3-24	22-nmod	20-nmod
3-25	22-punct	20-punct
3-26	22-conj	27-amod
3-27	26-dobj	20-nmod
3-28	22-cc	27-cc
3-29	30-amod	30-advmod
3-30	22-conj	27-amod
3-31	6-punct	19-punct

4-0	2-nsubj	2-nsubj
4-1	2-cop	2-aux
4-2	41-root	27-nsubj
4-3	4-punct	2-punct
4-4	2-nmod	27-nsubj
4-5	4-nmod	4-nmod
4-6	4-punct	27-punct
4-7	9-mark	27-nsubj
4-8	9-cop	27-aux
4-9	4-acl	27-nsubj
4-10	9-nsubj	27-nsubj
4-11	10-nmod	10-nmod
4-12	13-cc	13-case
4-13	10-nmod	10-nmod
4-14	17-punct	27-punct
4-15	17-mark	27-nsubj
4-16	17-cop	27-aux
4-17	2-parataxis	27-nsubj
4-18	20-case	20-case
4-19	20-amod	20-amod
4-20	17-nmod	17-nmod
4-21	22-punct	17-punct
4-22	20-nmod	17-nmod
4-23	22-punct	17-punct
4-24	2-punct	17-punct
