1-0	4-nummod	3-nummod
1-1	4-amod	3-amod
1-2	4-amod	3-amod
1-3	4-dep	9-nsubj
1-4	9-nsubj	5-name
1-5	4-name	3-nmod
1-6	4-cc	5-cc
1-7	4-conj	8-name
1-8	7-name	3-nmod
1-9	22-root	22-root
1-10	9-neg	9-advmod
1-11	15-punct	15-punct
1-12	15-mark	15-mark
1-13	15-nsubj	15-nsubj
1-14	15-aux	15-aux
1-15	9-dobj	9-ccomp
1-16	19-case	17-case
1-17	19-det	19-det
1-18	15-punct	19-punct
1-19	15-nmod	15-dobj
1-20	19-punct	19-punct
1-21	9-punct	9-punct

2-0	1-nsubj	1-nsubj
2-1	12-root	12-root
2-2	8-punct	8-punct
2-3	8-mark	8-mark
2-4	5-nmodCOLposs	5-nsubj
2-5	8-nsubj	8-nsubj
2-6	7-case	7-case
2-7	5-nmod	5-nmod
2-8	1-dobj	1-ccomp
2-9	10-case	10-case
2-10	8-nmod	8-nmod
2-11	1-punct	1-punct

3-0	1-case	1-case
3-1	5-nmod	5-nsubj
3-2	4-case	4-case
3-3	4-det	4-det
3-4	1-nmod	5-nmod
3-5	20-root	20-root
3-6	5-nsubj	5-dobj
3-7	5-punct	5-punct
3-8	13-punct	5-punct
3-9	12-case	12-case
3-10	12-det	12-det
3-11	12-amod	12-amod
3-12	13-nmod	13-nsubj
3-13	5-dep	5-ccomp
3-14	13-nsubj	13-dobj
3-15	13-cc	14-cc
3-16	17-amod	17-amod
3-17	18-nsubj	18-nsubj
3-18	13-conj	13-ccomp
3-19	5-punct	5-punct

4-0	21-root	21-root
4-1	5-mark	21-mark
4-2	3-det	3-det
4-3	5-nsubj	21-root
4-4	5-cop	21-root
4-5	15-mark	21-root
4-6	5-dep	8-case
4-7	6-dep	8-mark
4-8	7-dep	5-conj
4-9	10-case	10-case
4-10	8-nmod	8-dobj
4-11	12-case	12-case
4-12	10-nmod	8-dobj
4-13	5-punct	8-punct
4-14	15-advmod	15-advmod
4-15	0-conj	5-conj
4-16	17-det	17-det
4-17	15-nsubj	15-dobj
4-18	15-punct	19-punct
4-19	15-dobj	17-nmod
4-20	0-punct	5-punct

5-0	2-case	2-case
5-1	2-det	2-det
5-2	3-nmod	3-nmod
5-3	19-root	19-root
5-4	5-amod	5-amod
5-5	3-dep	19-root
5-6	3-nsubj	5-nmod
5-7	9-case	9-case
5-8	9-det	9-det
5-9	6-nmod	6-nmod
5-10	11-case	11-case
5-11	9-nmod	9-nmod
5-12	3-cc	11-cc
5-13	12-advmod	16-advmod
5-14	16-case	16-case
5-15	16-amod	16-amod
5-16	12-nmod	11-nmod
5-17	3-punct	16-punct
5-18	3-punct	5-punct

6-0	22-root	2-cc
6-1	2-nsubj	2-nsubj
6-2	0-conj	22-root
6-3	2-punct	2-punct
6-4	17-punct	10-punct
6-5	17-advmod	10-advmod
6-6	5-mark	10-mark
6-7	10-nsubj	10-nsubj
6-8	9-dep	10-case
6-9	10-neg	10-advmod
6-10	5-dep	2-ccomp
6-11	12-det	12-det
6-12	10-dobj	10-dobj
6-13	15-case	15-case
6-14	15-amod	15-amod
6-15	12-nmod	12-nmod
6-16	10-punct	10-punct
6-17	2-dep	10-conj
6-18	17-nsubj	20-nsubj
6-19	20-case	20-case
6-20	17-nmod	17-nmod
6-21	17-punct	2-punct

7-0	1-case	1-case
7-1	7-nmod	7-nsubj
7-2	3-case	3-case
7-3	1-nmod	1-nmod
7-4	7-aux	7-aux
7-5	7-nsubj	7-nsubj
7-6	7-neg	7-advmod
7-7	11-root	9-cop
7-8	9-det	9-det
7-9	7-dobj	11-root
7-10	7-punct	9-punct

8-0	1-dobj	1-nsubj
8-1	7-root	7-root
8-2	1-nsubj	5-nsubj
8-3	1-neg	5-advmod
8-4	5-advmod	5-advmod
8-5	1-advmod	1-advmod
8-6	1-punct	1-punct

9-0	1-nsubj	1-nsubj
9-1	8-root	8-root
9-2	3-advmod	3-advmod
9-3	1-neg	1-advmod
9-4	6-case	5-case
9-5	6-nmodCOLposs	8-root
9-6	1-nmod	5-nmod
9-7	1-punct	5-punct

10-0	2-nsubj	2-nsubj
10-1	2-cop	2-aux
10-2	4-root	4-root
10-3	2-punct	2-punct

11-0	1-nsubj	1-nsubj
11-1	28-root	24-cop
11-2	1-dobj	1-dobj
11-3	1-cc	1-cc
11-4	1-conj	1-ccomp
11-5	4-advmod	8-advmod
11-6	8-case	8-case
11-7	8-det	8-det
11-8	4-nmod	4-dobj
11-9	10-case	10-case
11-10	8-nmod	8-nmod
11-11	20-punct	16-punct
11-12	16-dobj	16-nsubj
11-13	20-nsubj	16-nsubj
11-14	20-advmod	16-advmod
11-15	20-aux	16-aux
11-16	20-dep	1-ccomp
11-17	20-cc	16-cc
11-18	20-advmod	20-advmod
11-19	20-aux	20-aux
11-20	1-aclCOLrelcl	1-advcl
11-21	20-dep	23-case
11-22	21-dep	23-mark
11-23	22-dep	24-cop
11-24	23-dobj	28-root
11-25	24-dep	28-root
11-26	20-punct	25-punct
11-27	1-punct	25-punct

12-0	1-nsubj	1-nsubj
12-1	11-root	11-root
12-2	6-punct	6-punct
12-3	6-mark	6-mark
12-4	6-nsubj	6-nmod
12-5	6-aux	6-aux
12-6	1-dobj	11-root
12-7	6-iobj	6-dobj
12-8	9-amod	9-amod
12-9	6-dobj	7-nmod
12-10	1-punct	6-punct

13-0	1-case	1-case
13-1	3-root	3-root
13-2	1-name	1-nmod

14-0	7-nsubj	7-nsubj
14-1	2-case	2-case
14-2	0-nmod	0-nmod
14-3	4-case	4-case
14-4	2-nmod	2-nmod
14-5	7-aux	7-aux
14-6	7-neg	7-advmod
14-7	13-root	13-root
14-8	9-case	9-case
14-9	7-nmod	7-dobj
14-10	9-cc	9-cc
14-11	9-conj	9-nmod
14-12	7-punct	7-punct

15-0	7-advmod	7-advmod
15-1	7-aux	7-aux
15-2	7-nsubj	7-nmod
15-3	6-case	6-case
15-4	6-det	6-det
15-5	6-amod	6-amod
15-6	2-nmod	2-nmod
15-7	13-root	13-root
15-8	7-iobj	11-nsubj
15-9	11-det	11-det
15-10	11-amod	11-amod
15-11	7-dobj	7-nmod
15-12	7-punct	7-punct

16-0	1-dobj	1-nsubj
16-1	28-root	7-advcl
16-2	3-nmodCOLposs	7-nsubj
16-3	1-nsubj	7-nsubj
16-4	3-appos	5-name
16-5	4-name	3-nmod
16-6	1-cc	3-cc
16-7	1-conj	28-root
16-8	13-punct	13-punct
16-9	13-mark	13-mark
16-10	12-det	12-det
16-11	12-amod	12-amod
16-12	13-nsubj	13-nsubj
16-13	7-dobj	7-ccomp
16-14	13-advmod	17-advmod
16-15	17-case	17-case
16-16	17-det	17-det
16-17	13-nmod	13-dobj
16-18	13-punct	17-punct
16-19	26-dobj	24-mark
16-20	24-nsubj	24-nmod
16-21	22-nmodCOLtemp	24-advmod
16-22	23-case	23-case
16-23	24-nmod	24-nmod
16-24	17-dep	7-conj
16-25	24-dobj	26-mark
16-26	25-dep	24-ccomp
16-27	1-punct	7-punct

17-0	2-nsubj	1-name
17-1	0-name	2-nsubj
17-2	15-root	15-root
17-3	4-case	4-case
17-4	2-nmod	2-nmod
17-5	8-punct	2-punct
17-6	8-advmod	8-advmod
