1-0	1-amod	1-amod
1-1	2-root	2-root

2-0	9-root	9-root
2-1	0-advmod	2-advmod
2-2	0-xcomp	9-root
2-3	5-nmodCOLposs	2-nsubj
2-4	5-amod	5-amod
2-5	6-nmodCOLposs	9-root
2-6	2-dobj	5-nmod
2-7	6-appos	6-nmod
2-8	0-punct	5-punct

3-0	2-advmod	7-advmod
3-1	2-nmodCOLposs	7-nsubj
3-2	3-nsubjCOLcop	1-nmod
3-3	20-root	2-nmod
3-4	7-punct	7-punct
3-5	7-advmod	7-advmod
3-6	7-nsubj	7-nsubj
3-7	3-advcl	13-advcl
3-8	7-xcomp	13-advcl
3-9	8-nmod	13-nsubj
3-10	8-dobj	9-nmod
3-11	10-nmod	13-nsubj
3-12	16-punct	13-punct
3-13	16-mark	20-root
3-14	16-dobj	16-nsubj
3-15	16-aux	16-aux
3-16	11-ccomp	13-ccomp
3-17	16-cc	16-cc
3-18	16-conj	13-ccomp
3-19	3-punct	13-punct

4-0	5-advmod	2-advmod
4-1	5-nsubjCOLcop	2-nsubj
4-2	5-cop	5-cop
4-3	4-advmod	5-advmod
4-4	5-advmod	5-advmod
4-5	7-root	7-root
4-6	5-punct	5-punct

5-0	2-nsubjCOLcop	1-nmod
5-1	2-cop	11-root
5-2	11-root	5-amod
5-3	5-nummod	5-nummod
5-4	5-amod	5-amod
5-5	2-nmod	1-nmod
5-6	5-cc	5-cc
5-7	8-nummod	8-nummod
5-8	5-conj	5-nmod
5-9	5-case	11-root
5-10	2-punct	9-punct

6-0	2-nmod	1-nsubj
6-1	2-neg	2-advcl
6-2	19-root	19-root
6-3	4-det	4-nsubj
6-4	2-nsubj	2-ccomp
6-5	7-punct	4-punct
6-6	7-neg	19-root
6-7	0-appos	6-nmod
6-8	7-punct	6-punct
6-9	13-neg	19-root
6-10	13-amod	11-amod
6-11	12-dobj	12-nsubj
6-12	13-acl	19-root
6-13	7-conj	12-nmod
6-14	7-punct	12-punct
6-15	17-neg	19-root
6-16	17-nmodCOLposs	19-root
6-17	7-conj	16-nmod
6-18	2-punct	16-punct

7-0	5-nsubjCOLcop	1-nsubj
7-1	5-cop	5-cop
7-2	5-advmod	5-advmod
7-3	2-mwe	5-advmod
7-4	5-advmod	5-advmod
7-5	25-root	25-root
7-6	10-punct	10-punct
7-7	10-mark	10-mark
7-8	9-amod	9-amod
7-9	10-nmodCOLown	10-nsubj
7-10	5-advcl	5-conj
7-11	12-amod	12-amod
7-12	10-nsubj	10-dobj
7-13	12-cc	12-cc
7-14	12-conj	12-nmod
7-15	10-punct	10-punct
7-16	17-amod	17-amod
7-17	20-nsubj	10-nmod
7-18	20-aux	20-aux
7-19	20-advmod	20-advmod
7-20	10-conj	5-conj
7-21	20-nmod	20-dobj
7-22	21-cc	21-cc
7-23	21-conj	21-nmod
7-24	5-punct	5-punct

8-0	1-amod	1-amod
8-1	7-root	4-nsubj
8-2	4-punct	4-punct
8-3	4-mark	4-mark
8-4	1-advcl	7-root
8-5	4-dobj	4-nmod
8-6	1-punct	4-punct

9-0	3-cc	2-cc
9-1	3-mark	2-mark
9-2	3-neg	5-root
9-3	5-root	2-ccomp
9-4	3-punct	2-punct

10-0	6-nmod	4-nmod
10-1	2-name	4-nsubj
10-2	3-nmodCOLposs	4-nsubj
10-3	6-nsubjCOLcop	4-nmod
10-4	6-cop	6-cop
10-5	6-amod	6-amod
10-6	8-root	8-root
10-7	6-punct	6-punct

11-0	1-dobj	1-nsubj
11-1	12-root	6-advcl
11-2	1-cc	1-cc
11-3	4-amod	4-amod
11-4	6-nsubj	5-nsubj
11-5	6-neg	1-ccomp
11-6	1-conj	12-root
11-7	6-xcomp	6-ccomp
11-8	10-mark	10-mark
11-9	10-nsubj	10-nsubj
11-10	6-advcl	6-ccomp
11-11	1-punct	6-punct

12-0	3-mark	3-mark
12-1	3-nsubj	3-nmod
12-2	3-advmod	3-advmod
12-3	17-advcl	20-root
12-4	5-nsubj	5-nsubj
12-5	3-xcompCOLds	3-ccomp
12-6	5-nmod	5-dobj
12-7	5-cc	6-cc
12-8	9-advmod	9-advmod
12-9	5-conj	20-root
12-10	11-amod	13-amod
12-11	9-advmod	12-advmod
12-12	13-amod	13-amod
12-13	9-nmod	9-nmod
12-14	3-punct	9-punct
12-15	17-aux	17-aux
12-16	17-nsubj	17-nsubj
12-17	20-root	20-root
12-18	17-xcomp	17-nmod
12-19	17-punct	17-punct

13-0	2-nsubj	1-nsubj
13-1	2-neg	7-root
13-2	7-root	1-ccomp
13-3	2-punct	2-punct
13-4	2-conj	7-root
13-5	4-nsubj	4-nmod
13-6	2-punct	4-punct

14-0	2-dobj	2-nsubj
14-1	2-aux	2-aux
14-2	17-root	17-root
14-3	2-nmod	2-dobj
14-4	3-punct	7-punct
14-5	7-mark	7-mark
14-6	7-nmod	7-nsubj
14-7	14-advcl	17-root
14-8	10-compoundCOLnn	7-dobj
14-9	10-punct	10-punct
14-10	7-nsubj	7-dobj
14-11	10-punct	7-punct
14-12	7-punct	7-punct
14-13	14-nsubj	14-nsubj
14-14	3-parataxis	7-conj
14-15	14-dobj	14-dobj
14-16	2-punct	7-punct

15-0	2-mark	2-mark
15-1	2-nmod	2-nsubj
15-2	7-advcl	10-root
15-3	2-dobj	2-dobj
15-4	2-punct	2-punct
15-5	8-nsubj	7-nsubj
15-6	7-auxpass	7-aux
15-7	10-root	2-ccomp
15-8	7-xcompCOLds	2-ccomp
15-9	7-punct	2-punct

16-0	2-compoundCOLnn	4-root
16-1	2-punct	0-punct
16-2	4-root	0-foreign
16-3	2-punct	0-punct

17-0	2-compoundCOLnn	2-cc
17-1	2-punct	0-punct
17-2	4-root	4-cc
17-3	2-punct	2-punct

18-0	1-nsubj	1-nsubj
18-1	5-root	5-root
18-2	3-amod	3-amod
18-3	1-nmod	1-nmod
18-4	1-punct	1-punct

19-0	1-advmod	2-advmod
19-1	2-nmod	2-nsubj
19-2	6-root	6-root
19-3	4-advmod	4-advmod
19-4	2-nsubj	2-nmod
19-5	2-punct	2-punct

20-0	1-name	3-nsubj
20-1	3-nsubj	3-nsubj
20-2	3-advmod	3-advmod
20-3	15-root	15-root
20-4	3-nmod	3-dobj
20-5	4-case	7-case
20-6	3-cc	5-cc
20-7	3-conj	3-conj
20-8	7-nmod	10-nsubj
20-9	8-advmod	10-advmod
20-10	13-amod	13-amod
20-11	10-cc	10-cc
20-12	10-conj	13-amod
20-13	7-dobj	7-nmod
20-14	3-punct	3-punct

21-0	2-cop	10-root
21-1	2-advmod	2-advmod
21-2	10-root	10-root
21-3	2-csubjCOLcop	2-conj
21-4	3-dobj	3-dobj
21-5	4-cc	4-cc
21-6	4-conj	4-nmod
21-7	8-det	8-nsubj
21-8	3-nmod	6-nmod
21-9	2-punct	2-punct

22-0	3-nmod	4-nsubj
22-1	3-advmod	4-advmod
22-2	3-name	3-name
22-3	4-nsubj	4-nsubj
22-4	14-root	14-root
22-5	6-amod	6-amod
22-6	4-dobj	4-dobj
22-7	4-cc	6-cc
22-8	11-dobj	11-nsubj
22-9	11-aux	11-aux
22-10	11-advmod	11-advmod
22-11	4-conj	4-ccomp
22-12	11-advmod	11-advmod
22-13	4-punct	4-punct

23-0	1-nsubj	1-nsubj
23-1	12-root	12-root
23-2	1-xcomp	1-ccomp
23-3	2-nmod	2-dobj
23-4	2-cc	3-cc
23-5	6-compoundCOLnn	7-nmod
23-6	7-nmod	5-nmod
23-7	2-conj	12-root
23-8	7-dobj	12-root
23-9	7-nmod	8-nmod
23-10	7-nmod	8-nmod
23-11	1-punct	8-punct

24-0	2-advmod	2-advmod
24-1	2-nsubj	2-nmod
24-2	8-root	8-root
24-3	2-nmod	6-nsubj
24-4	5-advmod	6-advmod
24-5	6-advmod	6-advmod
24-6	2-dobj	2-nmod
24-7	2-punct	2-punct

25-0	3-neg	19-root
25-1	3-aux	3-aux
25-2	3-mark	3-mark
25-3	19-root	0-ccomp
25-4	5-punct	3-punct
25-5	3-ccomp	0-ccomp
25-6	5-nmodCOLown	5-dobj
25-7	6-cc	6-cc
25-8	9-advmod	13-advmod
25-9	6-conj	13-nmod
25-10	11-amod	11-amod
25-11	5-nsubj	9-nmod
25-12	13-advmod	13-advmod
25-13	11-acl	19-root
25-14	13-nmod	19-root
25-15	13-dobj	14-nmod
25-16	17-amod	17-amod
25-17	13-nmod	15-nmod
25-18	3-punct	14-punct

26-0	4-nsubj	1-nsubj
26-1	4-neg	6-root
26-2	0-advmod	4-advmod
26-3	4-aux	4-aux
26-4	6-root	1-ccomp
26-5	4-punct	1-punct

27-0	1-nsubj	1-nsubj
27-1	2-root	2-root

28-0	1-amod	1-amod
28-1	4-nsubjCOLcop	3-nmod
28-2	4-aux	3-aux
28-3	4-cop	12-root
28-4	12-root	3-dobj
28-5	4-nmod	4-nmod
28-6	5-case	9-case
28-7	10-advmod	8-advmod
28-8	10-amod	9-amod
28-9	10-nmodCOLposs	5-nmod
28-10	4-nmod	9-nmod
28-11	4-punct	3-punct

29-0	16-root	16-root
29-1	0-nmod	0-dobj
29-2	3-punct	1-punct
29-3	1-nmod	1-nmod
29-4	3-punct	0-punct
29-5	3-case	8-case
29-6	0-punct	5-punct
29-7	0-cc	5-cc
29-8	12-nsubj	9-nsubj
29-9	12-neg	0-ccomp
29-10	12-advmod	12-advmod
29-11	10-mwe	12-advmod
29-12	0-conj	0-ccomp
29-13	14-advmod	14-advmod
29-14	12-xcomp	12-conj
29-15	0-punct	0-punct

30-0	1-advmod	1-advmod
30-1	5-acl	12-root
30-2	1-cc	1-cc
30-3	4-nmod	4-nmod
30-4	1-conj	12-root
30-5	6-nsubj	6-nmod
30-6	12-root	12-root
30-7	6-nmod	6-dobj
30-8	6-xcomp	7-amod
30-9	8-cc	8-cc
30-10	8-conj	7-amod
30-11	6-punct	6-punct

31-0	2-nsubj	2-nsubj
31-1	2-aux	2-aux
31-2	22-root	22-root
31-3	4-advmod	4-advmod
31-4	5-amod	5-amod
31-5	2-dobj	2-dobj
31-6	11-punct	8-punct
31-7	11-nsubjCOLcop	8-nsubj
31-8	11-cop	2-ccomp
31-9	11-advmod	11-advmod
31-10	9-mwe	11-advmod
31-11	5-aclCOLrelcl	17-amod
31-12	13-mark	17-mark
31-13	11-advcl	17-advmod
31-14	17-punct	17-punct
31-15	17-advmod	17-nsubj
31-16	17-det	17-nsubj
31-17	11-parataxis	8-nmod
31-18	17-punct	17-punct
31-19	17-discourse	17-nmod
31-20	17-punct	17-punct
31-21	2-punct	2-punct

32-0	1-nsubj	1-nmod
32-1	12-root	12-root
32-2	3-det	8-nsubj
32-3	1-nmod	8-nsubj
32-4	5-det	8-nsubj
32-5	6-nmodCOLposs	8-nsubj
32-6	1-nmod	5-nmod
32-7	6-cc	5-cc
32-8	9-advmod	12-root
32-9	6-conj	8-nmod
32-10	1-punct	9-punct
32-11	1-discourse	8-nmod

33-0	2-advmod	2-advmod
33-1	2-aux	2-aux
33-2	12-root	12-root
33-3	2-dobj	4-nsubj
33-4	2-nmod	2-dobj
33-5	2-cc	4-cc
33-6	7-advmod	10-advmod
33-7	10-advmod	10-advmod
33-8	10-aux	10-aux
33-9	10-nmod	10-nsubj
33-10	2-conj	2-ccomp
33-11	2-punct	2-punct

34-0	2-neg	16-cop
34-1	2-aux	2-aux
34-2	18-root	0-ccomp
34-3	8-punct	2-punct
34-4	8-mark	2-conj
34-5	6-det	8-nsubj
34-6	8-nmod	8-nmod
34-7	8-advmod	8-advmod
34-8	2-ccomp	16-cop
34-9	10-nmodCOLgsubj	16-nsubj
34-10	8-dobj	9-nmod
34-11	8-punct	9-punct
34-12	8-cc	9-cc
34-13	14-nsubjCOLcop	14-nsubj
34-14	8-conj	9-amod
34-15	14-cc	14-cc
34-16	14-conj	18-root
34-17	2-punct	16-punct

35-0	2-advmod	2-advmod
35-1	0-mwe	2-advmod
35-2	14-root	14-root
35-3	7-punct	6-punct
35-4	7-mark	6-mark
35-5	6-nsubj	6-nsubj
35-6	7-advcl	2-ccomp
35-7	2-ccomp	2-ccomp
35-8	7-nmod	7-dobj
35-9	8-cc	8-cc
35-10	8-conj	8-nmod
35-11	8-case	13-case
35-12	2-punct	11-punct
35-13	2-discourse	7-nmod

36-0	1-amod	12-root
36-1	12-root	12-root
36-2	1-cop	1-conj
36-3	1-nmod	2-dobj
36-4	8-punct	8-punct
36-5	8-mark	8-mark
36-6	8-nsubj	8-nsubj
36-7	8-aux	8-aux
36-8	3-ccomp	1-conj
36-9	8-advmod	8-advmod
36-10	1-punct	8-punct
36-11	1-discourse	8-nmod

37-0	3-nsubjCOLcop	1-nsubj
37-1	3-neg	21-root
37-2	3-cop	1-ccomp
37-3	21-root	2-advmod
37-4	3-punct	2-punct
37-5	3-cc	2-cc
37-6	7-advmod	7-advmod
37-7	8-amod	8-amod
37-8	3-conj	2-dobj
37-9	8-cc	8-cc
37-10	11-amod	11-amod
37-11	12-nmod	21-root
37-12	8-conj	11-nmod
37-13	12-cc	12-cc
37-14	12-conj	12-nmod
37-15	8-cc	14-cc
37-16	17-amod	17-amod
37-17	8-conj	11-nmod
37-18	19-advmod	19-advmod
37-19	17-nmod	17-nmod
37-20	3-punct	11-punct

38-0	2-nmod	2-nsubj
38-1	0-case	2-case
38-2	13-root	13-root
38-3	7-punct	7-punct
38-4	7-mark	7-mark
38-5	7-nsubj	7-nmod
38-6	7-aux	7-aux
38-7	2-ccomp	13-root
38-8	9-nmodCOLposs	13-root
38-9	7-nmod	8-nmod
38-10	11-nummod	11-nummod
38-11	7-nmod	9-nmod
38-12	2-punct	8-punct

39-0	1-aux	1-aux
39-1	12-root	12-root
39-2	5-punct	5-punct
39-3	5-mark	5-mark
39-4	5-nsubj	5-nmod
39-5	1-csubj	1-conj
39-6	7-det	12-root
39-7	5-nmod	12-root
39-8	9-advcl	10-amod
39-9	10-amod	10-amod
39-10	5-nmod	7-nmod
39-11	1-discourse	7-nmod

40-0	22-root	22-root
40-1	0-advmod	4-advmod
40-2	0-advmod	4-advmod
40-3	4-det	4-nsubj
40-4	0-nmod	0-dobj
40-5	14-punct	22-punct
40-6	14-mark	22-mark
40-7	8-amod	8-amod
40-8	14-nsubjCOLcop	22-root
40-9	8-nmod	8-nmod
40-10	9-case	22-root
40-11	14-cop	22-root
40-12	13-amod	13-amod
40-13	14-nmod	11-dobj
40-14	4-ccomp	13-amod
40-15	17-mark	17-mark
40-16	17-amod	17-amod
40-17	14-advcl	13-nmod
40-18	17-cc	17-cc
40-19	20-amod	20-amod
40-20	17-conj	17-nmod
40-21	0-punct	11-punct

41-0	8-root	8-root
41-1	0-advmod	8-root
41-2	3-det	8-root
41-3	0-nmod	8-root
41-4	0-advmod	5-advmod
41-5	6-amod	6-amod
41-6	0-dobj	3-nmod
41-7	0-punct	3-punct

42-0	3-root	3-root
42-1	0-punct	0-punct
42-2	0-discourse	0-nmod

43-0	4-root	4-root
43-1	0-punct	0-punct
43-2	0-conj	0-nmod
43-3	0-punct	0-punct

44-0	1-advmod	1-advmod
44-1	13-root	13-root
44-2	1-nsubj	3-nsubj
44-3	2-acl	1-ccomp
44-4	5-punct	11-punct
44-5	3-ccomp	11-nsubj
44-6	5-advmod	11-advmod
44-7	5-punct	11-punct
44-8	9-det	11-nsubj
44-9	11-nmod	11-nsubj
44-10	11-advmod	11-advmod
44-11	5-conj	1-ccomp
44-12	1-punct	1-punct

45-0	3-neg	13-root
45-1	3-aux	3-aux
45-2	3-advmod	3-advmod
45-3	13-root	0-conj
45-4	5-det	5-nsubj
45-5	3-nsubj	3-dobj
45-6	8-punct	8-punct
45-7	8-mark	8-mark
45-8	4-advcl	13-root
45-9	10-amod	10-amod
45-10	8-dobj	8-dobj
45-11	3-punct	10-punct
45-12	3-punct	8-punct

46-0	4-root	4-root
46-1	0-advmod	2-advmod
46-2	0-dobj	0-nmod
46-3	0-punct	0-punct

47-0	12-root	12-root
47-1	2-det	2-nsubj
47-2	0-nmod	0-nmod
47-3	0-punct	0-punct
47-4	10-advmod	7-advmod
47-5	10-nsubjCOLcop	7-nsubj
47-6	10-aux	7-aux
47-7	10-cop	0-ccomp
47-8	9-advmod	10-advmod
47-9	10-advmod	10-advmod
47-10	0-conj	7-nmod
47-11	0-punct	0-punct

48-0	1-nsubj	1-nsubj
48-1	10-root	10-root
48-2	3-det	3-nsubj
48-3	1-nmod	1-dobj
48-4	3-case	6-case
48-5	6-punct	6-punct
48-6	3-appos	3-nmod
48-7	6-punct	6-punct
48-8	1-nmod	6-nmod
48-9	1-punct	1-punct

49-0	2-advmod	1-advmod
49-1	2-neg	16-root
49-2	16-root	1-ccomp
49-3	2-advmod	5-advmod
49-4	2-dobj	5-nsubj
49-5	6-acl	16-root
49-6	2-nmod	5-dobj
49-7	2-punct	5-punct
49-8	2-cc	5-cc
49-9	10-det	12-nsubj
49-10	12-nmod	12-nsubj
49-11	12-aux	12-aux
49-12	2-conj	16-root
49-13	14-nmodCOLgobj	14-amod
49-14	12-nsubj	12-nmod
49-15	2-punct	12-punct

50-0	1-nmodCOLposs	3-nsubj
50-1	5-nmod	3-nsubj
50-2	5-nsubjCOLcop	1-nmod
50-3	5-cop	5-cop
50-4	5-advmod	5-advmod
50-5	38-root	38-root
50-6	31-punct	10-punct
50-7	31-mark	10-mark
50-8	10-mark	10-mark
50-9	10-nsubj	10-nsubj
50-10	31-advcl	5-conj
50-11	10-nmod	10-nmod
50-12	16-punct	10-punct
50-13	14-advmod	14-advmod
50-14	16-nmod	10-dobj
50-15	14-punct	14-punct
50-16	10-parataxis	10-dobj
50-17	16-nmod	16-nmod
50-18	17-case	20-case
50-19	16-cc	18-cc
50-20	16-conj	17-nmod
50-21	22-nmod	24-nsubj
50-22	20-advmod	24-advmod
50-23	24-det	24-nsubj
50-24	20-nmod	20-nmod
50-25	16-punct	24-punct
50-26	10-punct	10-punct
50-27	31-advmod	30-advmod
50-28	31-nsubj	30-nsubj
50-29	30-advmod	30-advmod
50-30	31-advcl	5-conj
50-31	5-ccomp	5-conj
50-32	31-dobj	35-nsubj
50-33	31-nmod	32-nmod
50-34	31-cc	32-cc
50-35	31-conj	5-conj
50-36	35-advmod	35-advmod
50-37	5-punct	5-punct

51-0	8-punct	1-punct
51-1	8-neg	14-root
51-2	8-nsubjCOLcop	5-nsubj
51-3	8-advmod	5-advmod
51-4	8-aux	5-aux
51-5	8-cop	1-conj
51-6	8-det	8-nsubj
51-7	8-amod	8-amod
51-8	14-root	5-dobj
51-9	8-punct	5-punct
51-10	8-punct	12-punct
51-11	12-nsubj	12-nsubj
51-12	8-parataxis	1-ccomp
51-13	8-punct	1-punct

52-0	2-nmod	2-nsubj
52-1	2-nsubj	2-nsubj
52-2	11-root	11-root
52-3	8-punct	7-punct
52-4	8-mark	7-mark
52-5	8-punct	7-punct
52-6	8-nsubj	7-nsubj
52-7	8-neg	2-ccomp
52-8	2-ccomp	2-conj
52-9	8-punct	8-punct
52-10	8-punct	2-punct

53-0	4-advmod	2-advmod
53-1	4-aux	2-aux
53-2	4-cop	23-root
53-3	4-advmod	4-advmod
53-4	23-root	2-advmod
53-5	6-punct	2-punct
53-6	4-nmod	2-dobj
53-7	8-amod	8-amod
53-8	6-nmodCOLposs	6-nmod
53-9	6-punct	2-punct
53-10	12-punct	12-punct
53-11	12-mark	12-mark
53-12	4-advcl	2-ccomp
53-13	20-mark	18-mark
53-14	15-nmodCOLposs	18-nsubj
53-15	20-nmod	18-nsubj
53-16	17-nmodCOLgobj	18-nsubj
53-17	20-nsubj	16-nmod
53-18	20-neg	2-ccomp
53-19	20-advmod	20-advmod
53-20	12-ccomp	23-root
53-21	20-nmod	20-nmod
53-22	4-punct	20-punct

54-0	11-root	11-root
54-1	0-advmod	4-advmod
54-2	0-dobj	4-nsubj
54-3	4-nmodCOLposs	4-nsubj
54-4	0-nmod	0-dobj
54-5	8-punct	7-punct
54-6	8-nsubj	7-nsubj
54-7	8-neg	0-ccomp
54-8	4-parataxis	0-conj
54-9	8-punct	8-punct
54-10	0-punct	0-punct

55-0	1-aux	1-aux
55-1	19-root	19-root
55-2	7-punct	5-punct
55-3	7-mark	5-mark
55-4	7-nsubj	5-nsubj
55-5	7-neg	1-ccomp
55-6	7-advmod	7-advmod
55-7	1-csubj	19-root
55-8	10-nmodCOLgsubj	7-dobj
55-9	10-punct	8-punct
55-10	7-dobj	8-nmod
55-11	10-punct	12-punct
55-12	10-nmod	7-dobj
55-13	14-punct	17-punct
55-14	12-ccomp	17-nsubj
55-15	16-det	17-nsubj
55-16	14-nsubjCOLcop	17-nsubj
55-17	14-cop	7-ccomp
55-18	1-punct	7-punct

56-0	23-root	23-root
56-1	0-nmod	0-dobj
56-2	5-punct	4-punct
56-3	5-nsubj	4-nsubj
56-4	5-neg	0-ccomp
56-5	1-aclCOLrelcl	4-conj
