1-0	1-nsubj	1-nsubj
1-1	15-root	2-nsubj
1-2	4-punct	3-advmod
1-3	4-mark	4-nmod
1-4	1-advcl	5-nsubj
1-5	6-aux	6-nsubj
1-6	4-ccomp	7-nsubj
1-7	4-punct	8-nmod
1-8	10-case	9-nsubj
1-9	10-amod	10-nsubj
1-10	1-cop	11-nsubj
1-11	12-case	12-nsubj
1-12	10-nmod	13-nsubj
1-13	12-case	15-nsubj
1-14	1-punct	13-punct

2-0	5-discourse	1-nsubj
2-1	0-mwe	2-nsubj
2-2	0-mwe	3-nsubj
2-3	5-aux	4-nsubj
2-4	5-aux	5-nsubj
2-5	7-root	7-nsubj
2-6	5-punct	5-punct

3-0	3-nsubj	1-nsubj
3-1	3-aux	2-nsubj
3-2	3-neg	3-nsubj
3-3	5-root	5-nsubj
3-4	3-punct	3-punct

4-0	8-root	1-nsubj
4-1	0-iobj	2-nsubj
4-2	0-expl	3-nsubj
4-3	4-case	4-nsubj
4-4	6-iobj	5-nsubj
4-5	6-aux	6-nsubj
4-6	0-csubj	8-nsubj
4-7	0-punct	6-punct

5-0	7-root	1-nsubj
5-1	0-aux	2-nsubj
5-2	3-advmod	3-nsubj
5-3	0-dobj	4-nsubj
5-4	3-cc	5-nsubj
5-5	3-conj	7-nsubj
5-6	0-punct	5-punct

6-0	5-nsubj	1-nsubj
6-1	3-punct	2-nmod
6-2	3-amod	3-nsubj
6-3	0-nmod	4-nsubj
6-4	3-punct	5-nmod
6-5	9-root	6-nsubj
6-6	7-aux	7-nsubj
6-7	5-ccomp	9-nsubj
6-8	5-punct	7-punct

7-0	1-advmod	1-nmod
7-1	5-root	2-nsubj
7-2	1-nmod	3-nsubj
7-3	2-advmod	5-advmod
7-4	1-punct	3-punct

8-0	1-nsubj	1-nsubj
8-1	4-root	2-nsubj
8-2	1-advmod	4-nsubj
8-3	1-punct	2-punct

9-0	1-case	1-nsubj
9-1	3-nmod	2-nsubj
9-2	3-expl	3-nsubj
9-3	9-root	4-nsubj
9-4	5-amod	5-nsubj
9-5	3-nsubj	6-nsubj
9-6	7-case	7-nsubj
9-7	5-nmod	9-nsubj
9-8	3-punct	7-punct

10-0	3-nsubj	1-nsubj
10-1	3-advmod	2-nsubj
10-2	3-expl	3-nsubj
10-3	5-root	5-nsubj
10-4	3-punct	3-punct

11-0	1-aux	1-nsubj
11-1	8-root	2-nsubj
11-2	1-advmod	3-nsubj
11-3	1-punct	4-nmod
11-4	6-advmod	5-nsubj
11-5	6-aux	6-nsubj
11-6	1-conj	8-nsubj
11-7	1-punct	6-punct

12-0	3-nsubj	1-nsubj
12-1	3-advmod	2-nmod
12-2	3-expl	3-nsubj
12-3	7-root	4-nsubj
12-4	5-case	5-nsubj
12-5	3-nmod	7-nsubj
12-6	3-punct	5-punct

13-0	1-amod	1-nsubj
13-1	2-nsubj	2-nsubj
13-2	6-root	3-nsubj
13-3	4-det	4-nsubj
13-4	2-dobj	6-nsubj
13-5	2-punct	4-punct

14-0	5-root	1-nsubj
14-1	0-nsubj	2-nsubj
14-2	1-cc	3-nsubj
14-3	1-conj	5-nsubj
14-4	0-punct	3-punct

15-0	2-amod	1-nsubj
