1-0	2-acl	5-root
1-1	2-det	2-det
1-2	5-root	3-name
1-3	2-name	0-nmod
1-4	2-punct	0-punct

2-0	5-nmod	3-nsubj
2-1	0-punct	0-punct
2-2	5-aux	3-aux
2-3	5-cop	19-root
2-4	5-det	5-det
2-5	19-root	3-dobj
2-6	9-case	10-mark
2-7	9-case	10-case
2-8	9-det	10-det
2-9	9-amod	10-amod
2-10	5-nmod	5-nmod
2-11	9-amod	15-amod
2-12	13-case	15-mark
2-13	13-case	15-case
2-14	13-det	15-det
2-15	5-nmod	10-nmod
2-16	15-case	17-case
2-17	13-nmod	10-nmod
2-18	5-punct	3-punct

3-0	2-case	3-mark
3-1	2-case	3-case
3-2	2-det	3-det
3-3	5-nmod	6-nsubj
3-4	2-amod	3-amod
3-5	5-nsubj	6-nsubj
3-6	32-root	32-root
3-7	7-mark	8-case
3-8	5-ccomp	6-xcomp
3-9	9-det	10-det
3-10	7-dobj	8-nmod
3-11	12-case	13-case
3-12	12-det	13-det
3-13	9-nmod	10-nmod
3-14	5-punct	6-punct
3-15	5-advcl	6-ccomp
3-16	20-mark	21-mark
3-17	17-det	18-det
3-18	20-nsubj	21-nsubj
3-19	20-aux	21-aux
3-20	20-advmod	21-advmod
3-21	14-ccomp	6-ccomp
3-22	22-case	23-case
3-23	20-nmod	21-nmod
3-24	24-det	25-det
3-25	20-dobj	23-nmod
3-26	27-case	29-mark
3-27	27-case	29-case
3-28	27-det	29-det
3-29	24-nmod	32-root
3-30	27-nmod	29-nmod
3-31	5-punct	29-punct

4-0	1-amod	1-amod
4-1	7-root	7-root
4-2	4-case	5-mark
4-3	4-case	5-case
4-4	4-det	5-det
4-5	1-nmod	1-nmod
4-6	1-punct	1-punct

5-0	2-det	2-det
5-1	2-amod	2-amod
5-2	7-root	7-root
5-3	5-det	5-det
5-4	5-amod	5-amod
5-5	2-conj	2-nmod
5-6	2-punct	2-punct

6-0	34-root	34-root
6-1	0-dobj	0-nmod
6-2	3-mark	3-case
6-3	0-xcomp	1-acl
6-4	20-mark	20-mark
6-5	6-det	6-det
6-6	20-nsubj	20-nmod
6-7	6-amod	6-amod
6-8	9-case	9-case
6-9	6-nmod	6-nmod
6-10	9-amod	9-amod
6-11	9-punct	6-punct
6-12	13-case	13-case
6-13	9-conj	6-nmod
6-14	9-cc	13-cc
6-15	16-case	16-case
6-16	9-conj	13-nmod
6-17	16-amod	16-amod
6-18	6-punct	6-punct
6-19	20-aux	20-aux
6-20	3-ccomp	0-conj
6-21	20-dobj	20-nmod
6-22	23-nsubj	23-nsubj
6-23	21-aclCOLrelcl	0-ccomp
6-24	23-xcomp	0-conj
6-25	24-dobj	24-nmod
6-26	32-dobj	32-nsubj
6-27	32-nsubj	32-nsubj
6-28	32-neg	32-advmod
6-29	32-aux	32-aux
6-30	32-advmod	32-advmod
6-31	32-neg	32-advmod
6-32	25-aclCOLrelcl	0-conj
6-33	0-punct	0-punct

7-0	6-nsubj	6-nsubj
7-1	6-neg	6-advmod
7-2	6-expl	6-nsubj
7-3	6-aux	6-aux
7-4	6-advmod	6-advmod
7-5	6-aux	6-aux
7-6	29-root	29-root
7-7	6-punct	12-punct
7-8	12-mark	12-mark
7-9	11-det	11-det
7-10	11-detCOLposs	11-det
7-11	12-nsubj	12-nsubj
7-12	6-advcl	6-xcomp
7-13	14-det	14-det
7-14	12-dobj	12-dobj
7-15	14-amod	14-amod
7-16	12-punct	12-punct
7-17	12-cc	12-cc
7-18	19-det	19-det
7-19	12-conj	24-nsubj
7-20	19-neg	24-advmod
7-21	12-punct	24-punct
7-22	23-det	23-det
7-23	24-nsubj	24-nsubj
7-24	12-conj	6-ccomp
7-25	27-case	27-case
7-26	27-det	27-det
7-27	24-nmod	24-nmod
7-28	6-punct	6-punct

8-0	4-det	1-det
8-1	4-amod	4-amod
8-2	1-punct	1-punct
8-3	1-conj	4-amod
8-4	15-nsubj	16-nsubj
8-5	7-case	8-mark
8-6	7-case	8-case
8-7	7-det	8-det
8-8	4-nmod	4-nmod
8-9	7-amod	8-amod
8-10	13-case	12-case
8-11	13-det	12-det
8-12	13-detCOLposs	14-det
8-13	13-punct	14-punct
8-14	4-nmod	8-nmod
8-15	13-punct	4-punct
8-16	22-root	22-root
8-17	18-case	20-mark
8-18	18-case	20-case
8-19	18-det	20-det
8-20	15-nmod	16-nmod
8-21	15-punct	16-punct

9-0	1-advmod	3-advmod
9-1	7-nsubj	0-nmod
9-2	1-punct	0-punct
9-3	7-parataxis	35-root
9-4	3-nsubj	3-nmod
9-5	3-punct	3-punct
9-6	7-punct	3-punct
9-7	35-root	3-xcomp
9-8	9-det	9-det
9-9	7-dobj	7-dobj
9-10	7-punct	7-punct
9-11	14-case	14-case
9-12	14-det	14-det
9-13	14-amod	14-amod
9-14	9-nmod	7-nmod
9-15	7-punct	7-punct
9-16	7-cc	7-cc
9-17	23-punct	7-punct
9-18	19-det	19-det
9-19	23-nsubj	7-nmod
9-20	21-case	21-case
9-21	19-nmod	19-nmod
9-22	23-neg	23-advmod
9-23	7-conj	3-ccomp
9-24	25-mark	25-case
9-25	23-xcomp	26-mark
9-26	23-xcomp	23-conj
9-27	25-expl	32-nsubj
9-28	30-case	32-mark
9-29	30-case	32-case
9-30	30-det	32-det
9-31	30-detCOLposs	32-det
9-32	25-nmod	26-dobj
9-33	23-punct	26-punct
9-34	7-punct	3-punct

10-0	1-det	1-det
10-1	5-root	5-root
10-2	3-case	3-case
10-3	1-nmod	1-nmod
10-4	1-punct	1-punct

11-0	1-det	1-det
11-1	19-nsubj	9-nsubj
11-2	4-case	5-mark
11-3	4-case	5-case
11-4	4-det	5-det
11-5	1-nmod	1-nmod
11-6	11-punct	1-punct
11-7	7-det	8-det
11-8	11-nsubj	1-nmod
11-9	11-cop	63-root
11-10	11-advmod	12-advmod
11-11	11-det	12-det
11-12	4-advcl	9-dobj
11-13	11-amod	17-amod
11-14	15-case	17-mark
11-15	15-case	17-case
11-16	15-det	17-det
11-17	11-nmod	12-nmod
11-18	11-punct	9-punct
11-19	19-cop	9-conj
11-20	19-punct	19-punct
11-21	63-root	22-amod
11-22	19-mwe	19-dobj
11-23	19-punct	22-punct
11-24	19-punct	19-punct
11-25	19-cc	19-cc
11-26	25-det	27-det
11-27	28-nsubjpass	19-nmod
11-28	28-aux	29-aux
11-29	28-auxpass	30-aux
11-30	19-conj	27-acl
11-31	31-case	34-mark
11-32	31-case	34-case
11-33	31-det	34-det
11-34	28-nmod	30-nmod
11-35	28-cc	34-cc
11-36	34-det	37-det
11-37	39-nsubj	34-nmod
11-38	34-amod	39-amod
11-39	34-nmod	40-name
11-40	36-name	37-nmod
11-41	39-aux	42-aux
11-42	28-conj	9-xcomp
11-43	41-det	44-det
11-44	39-dobj	42-nmod
11-45	44-case	47-case
11-46	44-det	47-det
11-47	41-nmod	44-nmod
11-48	46-case	49-case
11-49	44-nmod	47-nmod
11-50	49-case	53-mark
11-51	49-case	53-case
11-52	49-det	53-det
11-53	46-nmod	49-nmod
11-54	52-case	57-mark
11-55	52-case	57-case
11-56	52-det	57-det
11-57	49-nmod	53-nmod
11-58	55-case	61-mark
11-59	55-case	61-case
11-60	55-det	61-det
11-61	52-nmod	57-nmod
11-62	19-punct	9-punct

12-0	2-det	2-det
12-1	2-det	2-det
12-2	22-nmod	7-nsubj
12-3	4-detCOLposs	4-det
12-4	22-nsubj	2-nmod
12-5	4-punct	7-punct
12-6	7-nsubj	7-nsubj
12-7	4-aclCOLrelcl	48-root
12-8	9-det	9-det
12-9	7-dobj	7-nmod
12-10	11-case	11-case
12-11	9-nmod	9-nmod
12-12	13-case	13-case
12-13	7-nmod	11-nmod
12-14	16-case	17-mark
12-15	16-case	17-case
12-16	16-det	17-det
12-17	13-nmod	11-nmod
12-18	13-punct	7-punct
12-19	19-case	20-case
12-20	13-nmod	7-nmod
12-21	4-punct	7-punct
12-22	22-aux	24-aux
12-23	48-root	24-mark
12-24	48-root	7-conj
12-25	22-dobj	24-dobj
12-26	22-advmod	30-advmod
12-27	27-case	30-mark
12-28	27-case	30-case
12-29	27-det	30-det
12-30	22-nmod	24-dobj
12-31	22-punct	34-punct
12-32	31-mark	34-mark
12-33	31-expl	34-nsubj
12-34	22-advcl	7-xcomp
12-35	33-det	36-det
12-36	31-nmod	34-nmod
12-37	22-punct	34-punct
12-38	22-cc	34-cc
12-39	41-nsubj	44-nsubj
12-40	41-neg	44-advmod
12-41	41-expl	44-nsubj
12-42	41-dobj	44-nsubj
12-43	41-aux	44-aux
12-44	22-conj	7-ccomp
12-45	43-mark	46-case
12-46	41-xcomp	7-conj
12-47	22-punct	7-punct

13-0	30-nsubjpass	1-name
13-1	0-name	3-nsubj
13-2	0-punct	1-punct
13-3	4-amod	4-amod
13-4	0-appos	24-nsubj
13-5	7-case	8-mark
13-6	7-case	8-case
13-7	7-det	8-det
13-8	4-nmod	4-nmod
13-9	9-case	10-case
13-10	7-nmod	4-nmod
13-11	4-punct	4-punct
13-12	4-conj	4-nmod
13-13	13-case	14-case
13-14	11-nmod	12-nmod
13-15	4-punct	4-punct
13-16	16-nummod	17-nummod
13-17	4-conj	4-nmod
13-18	22-punct	4-punct
13-19	22-nsubj	23-nummodCOLgov
13-20	21-case	23-mark
13-21	21-case	23-case
13-22	21-det	23-det
13-23	18-nmod	24-nsubj
