  Labeled   attachment score: 33 / 179886 * 100 = 0.02 %
  Unlabeled attachment score: 50616 / 179886 * 100 = 28.14 %
  Label accuracy score:       65 / 179886 * 100 = 0.04 %

  ================================================================================

  Evaluation of the results in SPMRL/all-baseline-nowords.conllu
  vs. gold standard Original/all-SPMRL.conllu:

  Legend: '.S' - the beginning of a sentence, '.E' - the end of a sentence

  Number of non-scoring tokens: 26248

  The overall accuracy and its distribution over CPOSTAGs

  -----------+-------+-------+------+-------+------+-------+-------
  Accuracy   | words | right |   %  | right |   %  | both  |   %
             |       | head  |      |  dep  |      | right |
  -----------+-------+-------+------+-------+------+-------+-------
  total      | 179886 | 50616 |  28% |    65 |   0% |    33 |   0%
  -----------+-------+-------+------+-------+------+-------+-------
  NOUN       | 52703 |  9592 |  18% |    33 |   0% |    18 |   0%
  VERB       | 24121 |  6141 |  25% |     0 |   0% |     0 |   0%
  ADP        | 23761 |  3015 |  13% |     5 |   0% |     2 |   0%
  DET        | 23624 | 15172 |  64% |     0 |   0% |     0 |   0%
  ADJ        | 17035 |  4632 |  27% |     1 |   0% |     0 |   0%
  PRON       | 11437 |  5213 |  46% |    15 |   0% |    13 |   0%
  ADV        | 10992 |  3365 |  31% |     0 |   0% |     0 |   0%
  CONJ       |  8165 |  1784 |  22% |    11 |   0% |     0 |   0%
  .          |  3056 |   355 |  12% |     0 |   0% |     0 |   0%
  NUM        |  2475 |   764 |  31% |     0 |   0% |     0 |   0%
  PRT        |  1763 |   477 |  27% |     0 |   0% |     0 |   0%
  X          |   754 |   106 |  14% |     0 |   0% |     0 |   0%
  -----------+-------+-------+------+-------+------+-------+-------


  The overall error rate and its distribution over CPOSTAGs

  -----------+-------+-------+------+-------+------+-------+-------
  Error      | words | head  |   %  |  dep  |   %  | both  |   %
  Rate       |       | err   |      |  err  |      | wrong |
  -----------+-------+-------+------+-------+------+-------+-------
  total      | 179886 | 129270 |  72% | 179821 | 100% | 129238 |  72%
  -----------+-------+-------+------+-------+------+-------+-------
  NOUN       | 52703 | 43111 |  82% | 52670 | 100% | 43096 |  82%
  VERB       | 24121 | 17980 |  75% | 24121 | 100% | 17980 |  75%
  ADP        | 23761 | 20746 |  87% | 23756 | 100% | 20743 |  87%
  DET        | 23624 |  8452 |  36% | 23624 | 100% |  8452 |  36%
  ADJ        | 17035 | 12403 |  73% | 17034 | 100% | 12402 |  73%
  PRON       | 11437 |  6224 |  54% | 11422 | 100% |  6222 |  54%
  ADV        | 10992 |  7627 |  69% | 10992 | 100% |  7627 |  69%
  CONJ       |  8165 |  6381 |  78% |  8154 | 100% |  6370 |  78%
  .          |  3056 |  2701 |  88% |  3056 | 100% |  2701 |  88%
  NUM        |  2475 |  1711 |  69% |  2475 | 100% |  1711 |  69%
  PRT        |  1763 |  1286 |  73% |  1763 | 100% |  1286 |  73%
  X          |   754 |   648 |  86% |   754 | 100% |   648 |  86%
  -----------+-------+-------+------+-------+------+-------+-------


  Precision and recall of DEPREL

  ----------------+------+---------+--------+------------+---------------
  deprel          | gold | correct | system | recall (%) | precision (%) 
  ----------------+------+---------+--------+------------+---------------
  +A              |  102 |       0 |      0 |       0.00 |           NaN
  +F              |  123 |       0 |      0 |       0.00 |           NaN
  --              | 6982 |       0 |      0 |       0.00 |           NaN
  AA              |  540 |       0 |      0 |       0.00 |           NaN
  AC              |  127 |       0 |      0 |       0.00 |           NaN
  ADC             |    4 |       0 |      0 |       0.00 |           NaN
  AG              | 2249 |       0 |      0 |       0.00 |           NaN
  AMS             |   75 |       0 |      0 |       0.00 |           NaN
  AN              |   56 |       0 |      0 |       0.00 |           NaN
  APP             |  461 |       0 |      0 |       0.00 |           NaN
  APPEND          |  101 |       0 |      0 |       0.00 |           NaN
  APPEND-VAN-OBL  |    1 |       0 |      0 |       0.00 |           NaN
  APPEND-VAN-PRED |    2 |       0 |      0 |       0.00 |           NaN
  APPEND-VAN-PUNCT |    2 |       0 |      0 |       0.00 |           NaN
  APPEND-VAN-SUBJ |    2 |       0 |      0 |       0.00 |           NaN
  AT              |  443 |       0 |      0 |       0.00 |           NaN
  ATT             | 4226 |       0 |      0 |       0.00 |           NaN
  ATT-ELL-ATT     |    5 |       0 |      0 |       0.00 |           NaN
  ATT-ELL-CONJ    |    2 |       0 |      0 |       0.00 |           NaN
  ATT-ELL-COORD-ELL-ATT |    1 |       0 |      0 |       0.00 |           NaN
  ATT-ELL-COORD-ELL-COORD-ELL-ATT |    1 |       0 |      0 |       0.00 |           NaN
  ATT-ELL-COORD-ELL-COORD-ELL-COORD |    1 |       0 |      0 |       0.00 |           NaN
  ATT-ELL-COORD-ELL-COORD-ELL-DET |    1 |       0 |      0 |       0.00 |           NaN
  ATT-ELL-COORD-ELL-DET |    1 |       0 |      0 |       0.00 |           NaN
  ATT-ELL-DET     |    2 |       0 |      0 |       0.00 |           NaN
  ATT-ELL-MODE    |    6 |       0 |      0 |       0.00 |           NaN
  ATT-ELL-NEG     |    2 |       0 |      0 |       0.00 |           NaN
  ATT-ELL-OBJ     |    3 |       0 |      0 |       0.00 |           NaN
  ATT-ELL-OBL     |    4 |       0 |      0 |       0.00 |           NaN
  ATT-ELL-SUBJ    |    3 |       0 |      0 |       0.00 |           NaN
  ATT-VAN-APPEND  |    1 |       0 |      0 |       0.00 |           NaN
  ATT-VAN-ATT     |    6 |       0 |      0 |       0.00 |           NaN
  ATT-VAN-ATT-VAN-COORD-VAN-PRED |    1 |       0 |      0 |       0.00 |           NaN
  ATT-VAN-ATT-VAN-SUBJ |    1 |       0 |      0 |       0.00 |           NaN
  ATT-VAN-CONJ    |   24 |       0 |      0 |       0.00 |           NaN
  ATT-VAN-COORD   |    4 |       0 |      0 |       0.00 |           NaN
  ATT-VAN-DAT     |    1 |       0 |      0 |       0.00 |           NaN
  ATT-VAN-INF     |    5 |       0 |      0 |       0.00 |           NaN
  ATT-VAN-LOCY    |    5 |       0 |      0 |       0.00 |           NaN
  ATT-VAN-MODE    |   16 |       0 |      0 |       0.00 |           NaN
  ATT-VAN-NEG     |   11 |       0 |      0 |       0.00 |           NaN
  ATT-VAN-OBL     |   17 |       0 |      0 |       0.00 |           NaN
  ATT-VAN-PRED    |   59 |       0 |      0 |       0.00 |           NaN
  ATT-VAN-PREVERB |    1 |       0 |      0 |       0.00 |           NaN
  ATT-VAN-SUBJ    |   46 |       0 |      0 |       0.00 |           NaN
  ATT-VAN-TFROM   |    1 |       0 |      0 |       0.00 |           NaN
  ATT-VAN-TLOCY   |    3 |       0 |      0 |       0.00 |           NaN
  ATT-VAN-TO      |    1 |       0 |      0 |       0.00 |           NaN
  AUX             |   15 |       0 |      0 |       0.00 |           NaN
  AVC             |    4 |       0 |      0 |       0.00 |           NaN
  CA              |   89 |       0 |      0 |       0.00 |           NaN
  CC              |  238 |       0 |      0 |       0.00 |           NaN
  CD              | 2223 |       0 |      0 |       0.00 |           NaN
  CJ              | 3997 |      15 |     15 |       0.38 |        100.00
  CM              |  298 |       0 |      0 |       0.00 |           NaN
  CONJ            | 1108 |       0 |      0 |       0.00 |           NaN
  COORD           |  981 |       0 |      0 |       0.00 |           NaN
  COORD-ELL-ATT   |    3 |       0 |      0 |       0.00 |           NaN
  COORD-ELL-CONJ  |    5 |       0 |      0 |       0.00 |           NaN
