1-0	7-root	3-dobj
1-1	3-mark	3-mark
1-2	3-nsubj	3-nsubj
1-3	0-advcl	7-root
1-4	5-case	5-case
1-5	3-nmod	3-nmod
1-6	3-punct	3-punct

2-0	23-root	3-dobj
2-1	3-mark	3-mark
2-2	3-nsubj	3-nsubj
2-3	0-advcl	23-root
2-4	14-case	23-root
2-5	14-nmodCOLposs	23-root
2-6	8-compound	23-root
2-7	8-punct	6-punct
2-8	14-compound	6-nmod
2-9	8-punct	8-punct
2-10	8-cc	8-cc
2-11	12-advmod	12-advmod
2-12	8-conj	23-root
2-13	14-punct	12-punct
2-14	3-nmod	12-nmod
2-15	21-case	20-case
2-16	21-det	17-det
2-17	19-advmod	19-advmod
2-18	19-punct	17-punct
2-19	21-amod	20-amod
2-20	21-compound	14-nmod
2-21	3-nmod	12-nmod
2-22	3-punct	12-punct

3-0	3-punct	1-punct
3-1	3-case	2-case
3-2	3-compound	3-name
3-3	9-root	7-name
3-4	7-case	5-case
3-5	7-compound	7-name
3-6	7-compound	7-name
3-7	3-nmod	9-root
3-8	3-punct	7-punct

4-0	13-punct	7-punct
4-1	13-cc	7-advmod
4-2	13-punct	1-punct
4-3	5-case	5-case
4-4	5-det	5-det
4-5	13-nmod	1-conj
4-6	13-punct	1-punct
4-7	13-cop	25-root
4-8	13-nsubj	7-dobj
4-9	8-amod	13-amod
4-10	12-advmod	12-advmod
4-11	12-det	12-det
4-12	13-nmodCOLnpmod	13-amod
4-13	25-root	8-nmod
4-14	16-case	16-case
4-15	16-det	16-det
4-16	13-nmod	13-nmod
4-17	22-advmod	19-advmod
4-18	22-nsubj	19-det
4-19	22-cop	7-conj
4-20	22-det	21-det
4-21	22-amod	22-amod
4-22	16-aclCOLrelcl	19-dobj
4-23	13-punct	7-punct
4-24	13-punct	7-punct

5-0	2-det	1-det
5-1	2-compound	2-nmod
5-2	3-nsubj	3-nmod
5-3	31-root	31-root
5-4	11-mark	11-mark
5-5	7-nmodCOLposs	7-nsubj
5-6	5-case	7-advmodCOLemph
5-7	11-nsubj	11-nsubj
5-8	9-case	9-case
5-9	7-nmod	11-nsubj
5-10	11-aux	11-aux
5-11	3-ccomp	3-conj
5-12	11-punct	11-punct
5-13	17-dobj	17-det
5-14	17-nsubj	17-nsubj
5-15	17-aux	17-aux
5-16	17-advmod	17-advmod
5-17	11-aclCOLrelcl	11-conj
5-18	17-advmod	17-advmod
5-19	3-punct	3-punct
5-20	3-cc	3-cc
5-21	26-nsubjpass	22-dobj
5-22	26-auxpass	3-conj
5-23	26-advmod	26-advmod
5-24	26-advmod	26-advmod
5-25	26-punct	26-punct
5-26	3-conj	22-advcl
5-27	29-case	29-case
5-28	29-det	29-det
5-29	26-nmod	26-nmod
5-30	3-punct	3-punct

6-0	5-nsubj	1-nsubj
6-1	5-cop	7-root
6-2	5-det	3-det
6-3	5-amod	4-amod
6-4	5-compound	1-conj
6-5	7-root	4-nmod
6-6	5-punct	1-punct

7-0	2-aux	2-aux
7-1	2-nsubj	2-nsubj
7-2	8-root	8-root
7-3	2-dobj	8-root
7-4	5-case	5-case
7-5	2-nmod	8-root
7-6	5-amod	5-amod
7-7	2-punct	5-punct

8-0	1-nsubj	1-dobj
8-1	7-root	7-root
8-2	1-dobj	1-conj
8-3	1-punct	1-punct
8-4	1-advmod	1-advmod
8-5	4-mwe	1-advmod
8-6	1-punct	1-punct

9-0	4-cop	6-root
9-1	4-nsubj	3-det
9-2	4-det	3-det
9-3	4-compound	0-nsubj
9-4	6-root	3-nmod
9-5	4-punct	0-punct

10-0	2-nsubj	2-dobj
10-1	2-aux	2-aux
10-2	8-root	8-root
10-3	2-advmod	2-advmod
10-4	6-case	6-case
10-5	6-det	6-det
10-6	3-nmod	2-dobj
10-7	2-punct	2-punct

11-0	1-nsubj	1-nsubj
11-1	28-root	28-root
11-2	4-det	3-det
11-3	4-advmod	4-advmod
11-4	12-nsubj	28-root
11-5	7-nsubj	7-dobj
11-6	7-advmod	7-advmod
11-7	4-aclCOLrelcl	4-advcl
11-8	9-nmodCOLposs	7-nsubj
11-9	7-dobj	8-nmod
11-10	12-aux	12-aux
11-11	12-neg	12-cc
11-12	1-ccomp	9-conj
11-13	14-case	15-case
11-14	12-nmod	15-det
11-15	12-advmod	12-advmod
11-16	1-punct	7-punct
11-17	1-cc	7-cc
11-18	19-nsubj	19-nmod
11-19	1-conj	7-conj
11-20	22-nsubj	22-nmod
11-21	22-aux	22-aux
11-22	19-ccomp	4-advcl
11-23	22-dobj	28-root
11-24	25-advmod	26-advmod
11-25	22-advmod	26-advmod
11-26	22-advmod	23-advmod
11-27	1-punct	23-punct

12-0	1-compound	1-name
12-1	5-nsubj	5-nsubj
12-2	3-case	3-case
12-3	1-nmod	5-nsubj
12-4	5-aux	5-aux
12-5	22-root	22-root
12-6	5-compoundCOLprt	9-case
12-7	10-det	8-det
12-8	10-amod	9-amod
12-9	10-compound	5-nmod
12-10	5-dobj	9-nmod
12-11	12-case	12-case
12-12	10-nmod	15-dobj
12-13	15-auxpass	15-aux
12-14	15-advmod	15-advmod
12-15	12-aclCOLrelcl	22-root
12-16	15-cc	15-cc
12-17	15-conj	15-ccomp
12-18	17-nmod	20-case
12-19	20-case	20-case
12-20	15-nmod	17-nmod
12-21	5-punct	15-punct

13-0	6-root	6-root
13-1	0-advmod	3-advmod
13-2	3-mark	3-cc
13-3	0-advcl	0-conj
13-4	3-dobj	3-dobj
13-5	0-punct	0-punct

14-0	1-nsubj	1-nsubj
14-1	12-root	12-root
14-2	4-det	4-det
14-3	4-amod	4-amod
14-4	1-dobj	1-nmod
14-5	7-case	10-case
14-6	7-det	7-det
14-7	4-nmod	10-amod
14-8	10-case	10-case
14-9	10-det	10-det
14-10	7-nmod	4-nmod
14-11	1-punct	1-punct

15-0	4-nsubj	3-nummod
15-1	3-case	3-case
15-2	3-det	3-det
15-3	0-nmod	4-nsubj
15-4	13-root	13-root
15-5	6-det	6-det
15-6	4-dobj	9-nsubj
15-7	9-nsubjpass	8-det
15-8	9-auxpass	9-aux
15-9	6-aclCOLrelcl	4-advcl
15-10	11-case	11-case
15-11	9-nmod	9-nmod
15-12	4-punct	4-punct

16-0	4-case	4-case
16-1	4-det	4-det
16-2	4-amod	4-amod
16-3	4-nummod	4-nummod
16-4	6-nmod	6-nmod
16-5	6-nsubj	6-nsubj
16-6	13-root	13-root
16-7	6-dobj	6-dobj
16-8	11-case	10-case
16-9	11-nummod	10-nummod
16-10	11-compound	6-dobj
16-11	7-nmod	10-nmod
16-12	6-punct	6-punct

17-0	8-root	8-root
17-1	2-det	2-det
17-2	0-dobj	0-dobj
17-3	6-case	5-case
17-4	6-det	5-det
17-5	6-compound	2-nmod
17-6	0-nmod	2-nmod
17-7	0-punct	0-punct

18-0	1-nsubj	1-nmod
18-1	11-root	11-root
18-2	3-mark	3-cc
18-3	1-xcomp	1-conj
18-4	5-det	5-det
18-5	3-dobj	3-dobj
18-6	1-punct	1-punct
18-7	9-nsubj	8-nsubj
18-8	9-cop	1-conj
18-9	1-ccomp	8-conj
18-10	1-punct	1-punct

19-0	2-det	1-det
19-1	2-compound	4-nsubj
19-2	4-nsubj	4-nsubj
19-3	4-aux	4-aux
19-4	24-root	11-advcl
19-5	4-compoundCOLprt	6-case
19-6	11-mark	7-cc
19-7	11-cop	4-ccomp
19-8	11-det	9-det
19-9	10-advmod	7-advmod
19-10	11-amod	11-amod
19-11	4-xcomp	12-dobj
19-12	11-advcl	24-root
19-13	16-case	15-case
19-14	16-det	15-det
19-15	16-compound	12-nmod
19-16	12-nmod	12-nmod
19-17	19-case	19-case
19-18	19-det	19-det
19-19	12-nmod	22-nmod
19-20	22-case	22-case
19-21	22-det	22-det
19-22	19-nmod	16-nmod
19-23	4-punct	12-punct

20-0	42-root	2-advmod
20-1	2-nsubj	2-nsubj
20-2	0-ccomp	42-root
20-3	4-det	4-det
20-4	2-dobj	2-dobj
20-5	6-case	6-case
20-6	4-nmod	4-nmod
20-7	11-case	8-case
20-8	11-nmodCOLposs	6-nmod
20-9	8-case	11-advmodCOLemph
20-10	11-amod	11-amod
20-11	6-nmod	6-nmod
20-12	11-punct	2-punct
20-13	22-nsubj	14-det
20-14	22-punct	2-punct
20-15	16-mark	16-mark
20-16	22-advcl	2-advcl
20-17	20-case	19-case
20-18	20-det	19-det
20-19	20-amod	16-conj
20-20	16-nmod	19-dobj
20-21	22-punct	19-punct
20-22	11-aclCOLrelcl	2-advcl
20-23	24-advmod	24-advmod
20-24	26-advmod	22-advmod
20-25	26-det	26-det
20-26	22-dobj	31-nsubj
20-27	29-det	29-det
20-28	29-amod	29-amod
20-29	31-nsubj	31-nsubj
20-30	31-aux	31-aux
20-31	26-aclCOLrelcl	22-advcl
20-32	22-punct	31-punct
20-33	22-cc	42-root
20-34	22-conj	33-conj
20-35	34-compoundCOLprt	39-case
20-36	39-det	37-det
20-37	39-amod	39-amod
20-38	39-amod	39-amod
20-39	34-dobj	34-dobj
20-40	34-advmod	34-advmod
20-41	0-punct	33-punct

21-0	3-nsubj	1-dobj
21-1	3-cop	12-root
21-2	3-neg	6-foreign
21-3	12-root	6-amod
21-4	11-case	6-case
21-5	11-det	6-det
21-6	8-nsubj	1-nmod
21-7	8-punct	8-punct
21-8	11-compound	1-conj
21-9	8-punct	10-punct
21-10	8-dobj	8-nmod
21-11	3-nmod	1-nsubj

22-0	4-punct	4-punct
22-1	4-nsubj	4-nmod
22-2	4-aux	4-aux
22-3	4-neg	4-advmod
22-4	81-root	81-root
22-5	6-mark	6-cc
22-6	4-xcomp	4-conj
22-7	8-nmodCOLposs	12-dobj
22-8	6-dobj	7-nmod
22-9	4-punct	7-punct
22-10	12-nsubj	12-dobj
22-11	12-aux	12-auxpass
22-12	4-conj	6-conj
22-13	12-punct	12-punct
22-14	12-compoundCOLprt	15-case
22-15	16-mark	16-nmod
22-16	12-advcl	12-conj
22-17	18-nmodCOLposs	23-nmod
22-18	16-dobj	17-nmod
22-19	4-punct	23-punct
22-20	23-nsubj	23-nmod
22-21	23-aux	23-aux
22-22	23-neg	23-advmod
22-23	4-conj	4-conj
22-24	25-mark	25-cc
22-25	23-xcomp	4-conj
22-26	25-dobj	25-nmod
22-27	28-case	28-case
22-28	25-nmod	42-nsubj
22-29	32-case	31-case
22-30	32-det	31-det
22-31	32-compound	28-nmod
