1-0	1-nsubj	1-nsubj
1-1	12-root	12-root
1-2	10-mark	10-mark
1-3	4-case	4-case
1-4	10-nmod	10-nsubj
1-5	4-nummod	4-nummod
1-6	10-dobj	4-nmod
1-7	6-nmodCOLposs	6-nmod
1-8	6-case	9-advmodCOLemph
1-9	10-compoundCOLlvc	6-nmod
1-10	1-ccomp	1-conj
1-11	1-punct	1-punct

2-0	2-nsubj	2-nsubj
2-1	0-nmodCOLposs	2-nmod
2-2	26-root	26-root
2-3	9-mark	9-mark
2-4	9-nsubj	9-nmod
2-5	7-case	7-case
2-6	7-det	7-det
2-7	9-nmod	4-nmod
2-8	9-compoundCOLlvc	7-nmod
2-9	2-ccomp	2-conj
2-10	9-punct	9-punct
2-11	12-det	12-det
2-12	13-nmod	9-nmod
2-13	9-conj	12-acl
2-14	23-mark	16-mark
2-15	16-case	16-case
2-16	23-nmod	13-nmod
2-17	21-mark	21-mark
2-18	19-case	19-case
2-19	21-nmod	21-nmod
2-20	19-nmodCOLposs	21-nmod
2-21	16-aclCOLrelcl	13-conj
2-22	23-punct	21-punct
2-23	13-ccomp	21-nmod
2-24	23-cop	21-conj
2-25	2-punct	2-punct

3-0	10-nsubj	10-nsubj
3-1	10-punct	0-punct
3-2	3-case	3-case
3-3	10-nmod	0-nmod
3-4	3-nmodCOLposs	3-nmod
3-5	6-case	6-case
3-6	10-nmod	4-nmod
3-7	6-name	6-nmod
3-8	7-name	7-nmod
3-9	10-compoundCOLlvc	8-nmod
3-10	12-root	12-root
3-11	10-punct	10-punct

4-0	10-nsubj	21-root
4-1	2-nummod	2-nummod
4-2	0-nmodCOLposs	0-nmod
4-3	5-case	5-case
4-4	5-nummod	5-nummod
4-5	10-nmod	2-nmod
4-6	5-name	5-nmod
4-7	6-cc	6-cc
4-8	6-conj	6-nmod
4-9	10-compoundCOLlvc	0-nmod
4-10	21-root	9-acl
4-11	19-mark	19-mark
4-12	13-case	13-case
4-13	19-nmod	19-nsubj
4-14	13-nmodCOLposs	13-nmod
4-15	14-nmodCOLposs	14-nmod
4-16	17-case	17-case
4-17	15-nmod	14-nmod
4-18	19-compoundCOLlvc	17-nmod
4-19	10-ccomp	10-conj
4-20	10-punct	0-punct

5-0	31-dislocated	6-nsubj
5-1	6-mark	6-mark
5-2	6-nsubj	6-nsubj
